Name,Site,Year,Timeline,Treatment,Viable,Aborted,Percent_viable,
Sweetwater,S02,2010,1,wet,341,10,0.9715099715,
Sweetwater,S02,2010,1,dry,286,25,0.9196141479,
Sweetwater,S02,2010,3,wet,326,13,0.9616519174,
Sweetwater,S02,2010,3,dry,297,12,0.9611650485,
Sweetwater,S02,2010,4,wet,258,70,0.7865853659,
Sweetwater,S02,2010,4,dry,,,#DIV/0!,
Sweetwater,S02,2010,6,wet,317,4,0.9875389408,
Sweetwater,S02,2010,6,dry,306,26,0.921686747,
Sweetwater,S02,2010,7,wet,315,20,0.9402985075,
Sweetwater,S02,2010,7,dry,305,24,0.9270516717,
Sweetwater,S02,2014,28,wet,337,15,0.9573863636,
Sweetwater,S02,2014,28,dry,298,21,0.934169279,
Sweetwater,S02,2014,29,wet,323,6,0.9817629179,
Sweetwater,S02,2014,29,dry,305,7,0.9775641026,
Sweetwater,S02,2014,32,wet,220,96,0.6962025316,
Sweetwater,S02,2014,32,dry,230,37,0.861423221,
Sweetwater,S02,2014,35,wet,300,16,0.9493670886,
Sweetwater,S02,2014,35,dry,283,17,0.9433333333,
Sweetwater,S02,2014,37,wet,261,40,0.8671096346,
Sweetwater,S02,2014,37,dry,300,15,0.9523809524,
West Fork,S07,2010,38,wet,304,4,0.987012987,
West Fork,S07,2010,38,dry,317,2,0.9937304075,
West Fork,S07,2010,40,wet,300,1,0.9966777409,
West Fork,S07,2010,40,dry,310,0,1,
West Fork,S07,2010,41,wet,294,6,0.98,
West Fork,S07,2010,41,dry,304,6,0.9806451613,
West Fork,S07,2014,49,wet,300,9,0.9708737864,
West Fork,S07,2014,49,dry,324,10,0.9700598802,
West Fork,S07,2014,51,wet,287,22,0.928802589,
West Fork,S07,2014,51,dry,286,14,0.9533333333,
West Fork,S07,2014,52,wet,288,12,0.96,
West Fork,S07,2014,52,dry,263,74,0.7804154303,
West Fork,S07,2014,54,wet,333,6,0.982300885,
West Fork,S07,2014,54,dry,303,11,0.9649681529,
West Fork,S07,2014,57,wet,328,26,0.9265536723,
West Fork,S07,2014,57,dry,288,36,0.8888888889,
Rock Creek,S15,2010,148,wet,315,20,0.9402985075,
Rock Creek,S15,2010,148,dry,259,49,0.8409090909,
Rock Creek,S15,2010,152,wet,285,15,0.95,
Rock Creek,S15,2010,152,dry,304,11,0.9650793651,
Rock Creek,S15,2010,153,wet,,,#DIV/0!,
Rock Creek,S15,2010,153,dry,305,12,0.9621451104,
Rock Creek,S15,2010,154,wet,281,19,0.9366666667,
Rock Creek,S15,2010,154,dry,293,7,0.9766666667,
Rock Creek,S15,2010,155,wet,,,#DIV/0!,
Rock Creek,S15,2010,155,dry,246,58,0.8092105263,I found this one in my photos
Rock Creek,S15,2015,164,wet,297,3,0.99,
Rock Creek,S15,2015,164,dry,273,27,0.91,
Rock Creek,S15,2015,166,wet,287,13,0.9566666667,
Rock Creek,S15,2015,166,dry,288,12,0.96,
Rock Creek,S15,2015,167,wet,328,4,0.9879518072,
Rock Creek,S15,2015,167,dry,303,13,0.9588607595,
Rock Creek,S15,2015,170,wet,,,#DIV/0!,
Rock Creek,S15,2015,170,dry,60,235,0.2033898305,
Rock Creek,S15,2015,172,wet,356,19,0.9493333333,
Rock Creek,S15,2015,172,dry,397,13,0.9682926829,
Deer Creek,S36,2011,342,wet,292,8,0.9733333333,
Deer Creek,S36,2011,342,dry,281,29,0.9064516129,
Deer Creek,S36,2011,343,wet,267,33,0.89,
Deer Creek,S36,2011,343,dry,306,8,0.974522293,
Deer Creek,S36,2011,344,wet,293,7,0.9766666667,
Deer Creek,S36,2011,344,dry,296,4,0.9866666667,
Deer Creek,S36,2011,345,wet,212,100,0.6794871795,
Deer Creek,S36,2011,345,dry,149,152,0.4950166113,
Deer Creek,S36,2011,349,wet,325,6,0.9818731118,
Deer Creek,S36,2011,349,dry,296,10,0.9673202614,
Deer Creek,S36,2015,371,wet,,,#DIV/0!,
Deer Creek,S36,2015,371,dry,254,46,0.8466666667,
Deer Creek,S36,2015,372,wet,286,27,0.9137380192,
Deer Creek,S36,2015,372,dry,285,25,0.9193548387,
Deer Creek,S36,2015,373,wet,307,11,0.965408805,
Deer Creek,S36,2015,373,dry,288,12,0.96,
Deer Creek,S36,2015,374,wet,295,5,0.9833333333,double check - this was written incorrectly I think in my file as 347
Deer Creek,S36,2015,374,dry,287,13,0.9566666667,
Deer Creek,S36,2015,375,wet,330,22,0.9375,
Deer Creek,S36,2015,375,dry,298,2,0.9933333333,
West Fork,S07,2010,39A,wet,309,9,0.9716981132,
West Fork,S07,2010,39A,dry,290,10,0.9666666667,
West Fork,S07,2010,39B,wet,301,21,0.9347826087,
West Fork,S07,2010,39B,dry,279,21,0.93,
