Rep,ID,Treatment,Viable,Aborted,Percent_viable
S0,375,D,295,13,0.9577922078
S0,164,D,288,16,0.9473684211
S0,270,D,282,34,0.8924050633
S0,153,D,301,13,0.9585987261
S0,344,D,316,15,0.9546827795
S0,170,D,311,15,0.9539877301
S0,52,D,264,40,0.8684210526
S0,153,W,313,7,0.978125
S0,375,W,300,8,0.974025974
S0,38,D,297,11,0.9642857143
S0,154,W,372,16,0.9587628866
S0,38,W,313,3,0.9905063291
S0,349,W,274,31,0.8983606557
S0,164,W,304,6,0.9806451613
S0,57,D,295,7,0.9768211921
S0,6,D,278,26,0.9144736842
S0,39A,D,312,8,0.975
S0,343,D,346,12,0.9664804469
S0,49,W,323,8,0.9758308157
S0,373,W,289,14,0.9537953795
S0,373,D,298,34,0.8975903614
S0,3,D,290,10,0.9666666667
S0,155,D,379,34,0.9176755448
S0,342,W,315,15,0.9545454545
S0,374,W,283,15,0.9496644295
S0,29,D,255,70,0.7846153846
S0,28,D,297,11,0.9642857143
S0,345,W,198,101,0.6622073579
S0,35,W,301,5,0.9836601307
S0,166,W,296,9,0.9704918033
S0,148,W,307,6,0.9808306709
S0,172,D,274,30,0.9013157895
S0,40,W,291,4,0.986440678
S0,57,W,292,22,0.9299363057
S0,344,W,317,6,0.9814241486
S0,39A,W,305,4,0.9870550162
S0,49,D,290,2,0.9931506849
S0,54,D,312,4,0.9873417722
S0,4,W,244,54,0.8187919463
S0,170,W,295,10,0.9672131148
S0,1,D,298,25,0.9226006192
S0,37,D,293,10,0.9669966997
S0,40,D,297,5,0.9834437086
S0,342,D,275,28,0.9075907591
S0,372,W,303,6,0.9805825243
S0,41,W,299,26,0.92
S0,37,W,312,6,0.9811320755
S0,349,D,290,16,0.9477124183
S0,3,W,308,6,0.9808917197
S0,172,W,300,6,0.9803921569
S0,343,W,335,16,0.9544159544
S0,32,W,293,9,0.9701986755
S0,371,D,295,17,0.9455128205
S0,32,D,263,67,0.796969697
S0,7,D,320,6,0.981595092
S0,39B,W,293,8,0.9734219269
S0,148,D,293,9,0.9701986755
S0,39B ,D,291,25,0.9208860759
S0,166,D,323,10,0.96996997
S0,374,D,307,27,0.9191616766
S0,54,W,337,17,0.9519774011
S0,1,W,331,4,0.9880597015
S0,154,D,282,17,0.9431438127
S0,371,W,307,49,0.8623595506
S0,51,W,284,18,0.940397351
S0,6,W,319,24,0.9300291545
S0,29,W,296,32,0.9024390244
S0,41,D,284,13,0.9562289562
S0,54,W,322,14,0.9583333333
S0,167,W,291,14,0.9540983607
S0,32,W,355,12,0.9673024523
S0,167,D,288,11,0.9632107023
S0,35,D,277,35,0.8878205128
S0,345,D,313,218,0.5894538606
S0,152,D,314,7,0.9781931464
S0,152,W,315,10,0.9692307692
S0,7,W,301,8,0.9741100324
S0,28,W,299,6,0.9803278689
