Generation,Timeline,Parental,ID,Placement,Tray,Treatment,Viable,Aborted,Percent_viable,,,,,,
S1,172,W,1176,1,1,wet,307,1,0.9967532468,,,,,,
S1,349,D,1207,2,1,wet,210,90,0.7,,,,,,
S1,164,W,1150,3,1,wet,290,10,0.9666666667,288,13,,,,
S1,154,D,1141,4,1,wet,304,42,0.8786127168,,,,,,
S1,372,W,1218,5,1,wet,302,9,0.9710610932,,,,,,
S1,3,D,1010,6,1,wet,359,3,0.9917127072,,,,,,
S1,39A,W,1066,7,1,wet, ,13,#VALUE!,,,,,,
S1,39B,D,1076,8,1,wet,270,45,0.8571428571,,,,,,
S1,51,W,1096,9,1,wet,316,8,0.975308642,,,,,,
S1,54,W,1109,10,1,wet,,,#DIV/0!,no pollen,,,,,
S1,371,W,1210,11,1,wet,255,56,0.8199356913,,,,,,
S1,374,D,1231,,1,wet,287,91,0.7592592593,,,,,,
S1,52,W,1104,13,1,wet,313,12,0.9630769231,,,,,,
S1,7,D,1029,14,1,wet,293,23,0.9272151899,,,,,,
S1,1,D,1005,15,1,wet,358,27,0.9298701299,,,,,,
S1,148,D,1124,16,1,wet,328,32,0.9111111111,,,,,,
S1,49,D,1095,17,1,wet,290,14,0.9539473684,,,,,,
S1,7,D,1027,18,1,wet,290,23,0.9265175719,,,,,,
S1,41,W,1085,1,2,wet,311,10,0.968847352,,,,,,
S1,375,D,1239,2,2,wet,386,21,0.9484029484,,,,,,
S1,170,D,1173,3,2,wet,227,73,0.7566666667,314,174,,,,
S1,40,W,1080,4,2,wet,308,12,0.9625,,,,,,
S1,375,D,1237,5,2,wet,292,9,0.9700996678,,,,,,
S1,374,W,1230,6,2,wet,316,12,0.9634146341,,,,,,
S1,343,D,1189,7,2,wet,313,11,0.9660493827,,,,,,
S1,170,D,1172,8,2,wet,303,84,0.7829457364,,,,,,
S1,345,W,1200,9,2,wet,276,24,0.92,,,,,,
S1,7,W,1025,10,2,wet,300,16,0.9493670886,,,,,,
S1,39B,D,1077,11,2,wet,319,8,0.9755351682,,,,,,
S1,148,D,1125,12,2,wet,301,22,0.9318885449,,,,,,
S1,32,W,1044,13,2,wet,374,14,0.9639175258,,,,,,
S1,343,W,1188,14,2,wet,290,36,0.8895705521,,,,,,
S1,35,W,1048,15,2,wet,250,54,0.8223684211,,,,,,
S1,52,W,1103,16,2,wet,304,9,0.9712460064,,,,,,
S1,37,W,1054,17,2,wet,327,14,0.9589442815,? ,285,19,taken on June 22,,
S1,32,W,1043,18,2,wet,254,55,0.8220064725,,,,,,
S1,172,D,1177,1,3,wet,346,38,0.9010416667,,,,,,
S1,373,D,1225,2,3,wet,260,46,0.8496732026,,,,,,
S1,152,W,1127,3,3,wet,378,37,0.9108433735,,,,,,
S1,41,W,1086,4,3,wet,304,6,0.9806451613,,,,,,
S1,38,D,1065,5,3,wet,311,2,0.9936102236,,,,,,
S1,49,D,1094,6,3,wet,305,6,0.9807073955,,,,,,
S1,155,D,1147,7,3,wet,297,7,0.9769736842,,,,,,
S1,345,W,1199,8,3,wet,265,115,0.6973684211,,,,,,
S1,164,W,1151,9,3,wet,316,3,0.9905956113,,,,,,
S1,4,D,1015,10,3,wet,278,22,0.9266666667,,,,,,
S1,153,W,1134,11,3,wet,277,33,0.8935483871,,,,,,
S1,6,D,1021,12,3,wet,329,36,0.901369863,,,,,,
S1,39B,D,1075,13,3,wet,297,5,0.9834437086,,,,,,
S1,345,D,1203,14,3,wet,187,123,0.6032258065,,,,,,
S1,4,D,1017,15,3,wet,277,35,0.8878205128,,,,,,
S1,343,D,1190,16,3,wet,287,14,0.9534883721,,,,,,
S1,51,D,1101,17,3,wet,272,44,0.8607594937,,,,,,
S1,41,D,1088,18,3,wet,231,90,0.7196261682,,,,,,
S1,28,D,1034,1,4,wet,,,#DIV/0!,,,,,,
S1,172,W,1175,2,4,wet,314,15,0.9544072948,,,,,,
S1,167,W,1162,3,4,wet,309,4,0.9872204473,,,,,,
S1,155,W,1144,4,4,wet,279,38,0.880126183,,,,,,
S1,164,W,1152,5,4,wet,297,11,0.9642857143,,,,,,
S1,148,W,1120,6,4,wet,316,9,0.9723076923,,,,,,
S1,32,D,1045,7,4,wet,276,31,0.8990228013,,,,,,
S1,37,D,1058,8,4,wet,318,8,0.9754601227,,,,,,
S1,152,W,1126,9,4,wet,329,13,0.9619883041,,,,,,
S1,7,D,1028,10,4,wet,281,8,0.9723183391,,,,,,
S1,148,W,1121,11,4,wet,299,10,0.9676375405,,,,,,
S1,7,W,1026,12,4,wet,356,16,0.9569892473,,,,,,
S1,152,D,1131,13,4,wet,285,16,0.9468438538,,,,,,
S1,375,D,1238,14,4,wet,303,5,0.9837662338,,,,,,
S1,3,W,1006,15,4,wet,304,1,0.9967213115,,,,,,
S1,29,D,1041,16,4,wet,343,67,0.8365853659,,,,,,
S1,40,D,1083,17,4,wet,264,50,0.8407643312,,,,,,
S1,375,W,1234,18,4,wet,283,20,0.9339933993,,,,,,
S1,38,W,1061,1,5,wet,268,47,0.8507936508,,,,,,
S1,37,W,1056,2,5,wet,347,18,0.9506849315,,,,,,
S1,57,D,1119,3,5,wet,292,4,0.9864864865,,,,,,
S1,54,D,1111,4,5,wet,292,20,0.9358974359,,,,,,
S1,155,W,1145,5,5,wet,320,20,0.9411764706,,,,,,
S1,38,W,1062,6,5,wet,239,93,0.7198795181,,,,,,
S1,153,W,1133,7,5,wet,288,14,0.9536423841,,,,,,
S1,371,D,1213,8,5,wet,305,4,0.9870550162,,,,,,
S1,57,W,1115,9,5,wet,,,#DIV/0!,13,1,total,,,
S1,28,W,1030,10,5,wet,289,11,0.9633333333,,,,,,
S1,49,W,1091,11,5,wet,295,15,0.9516129032,,,,,,
S1,345,D,1201,12,5,wet,124,179,0.4092409241,,,,,,
S1,344,W,1194,13,5,wet,292,15,0.9511400651,,,,,,
S1,29,D,1039,14,5,wet,291,9,0.97,,,,,,
S1,57,W,1114,15,5,wet,300,5,0.9836065574,,,,,,
S1,49,W,1090,16,5,wet,398,12,0.9707317073,,,,,,
S1,39A,W,1068,17,5,wet,287,28,0.9111111111,,,,,,
S1,166,D,1161,18,5,wet,307,14,0.9563862928,,,,,,
S1,170,W,1168,1,6,wet,365,24,0.9383033419,,,,,,
S1,374,W,1228,2,6,wet,286,23,0.925566343,,,,,,
S1,371,W,1211,3,6,wet,275,25,0.9166666667,,,,,,
S1,164,D,1154,4,6,wet,281,19,0.9366666667,231,82,,,,
S1,3,W,1007,5,6,wet,300,14,0.9554140127,,,,,,
S1,37,D,1059,6,6,wet,294,20,0.9363057325,,,,,,
S1,35,W,1050,7,6,wet,253,103,0.7106741573,,,,,,
S1,154,W,1138,8,6,wet,,,#DIV/0!,,,,,,
S1,39A,D,1069,9,6,wet,309,3,0.9903846154,,,,,,
S1,54,W,1108,10,6,wet,,,#DIV/0!,11,1,total,,,
S1,35,W,1049,11,6,wet,151,156,0.4918566775,,,,,,
S1,373,W,1223,12,6,wet,304,35,0.8967551622,,,,,,
S1,28,W,1032,13,6,wet,294,30,0.9074074074,,,,,,
S1,152,D,1130,14,6,wet,290,9,0.9698996656,,,,,,
S1,41,D,1089,15,6,wet,302,6,0.9805194805,,,,,,
S1,154,D,1143,16,6,wet,328,14,0.9590643275,,,,,,
S1,49,W,1092,17,6,wet,304,7,0.9774919614,,,,,,
S1,6,W,1019,18,6,wet,100,266,0.2732240437,,,,,,
S1,37,D,1057,1,7,wet,290,7,0.9764309764,,,,,,
S1,7,W,1024,2,7,wet,310,18,0.9451219512,,,,,,
S1,51,D,1100,3,7,wet,242,80,0.751552795,,,,,,
S1,343,W,1187,4,7,wet,310,5,0.9841269841,,,,,,
S1,39B,W,1074,5,7,wet,297,9,0.9705882353,,,,,,
S1,41,D,1087,6,7,wet,310,8,0.9748427673,.... what?,definitely not correct here,,Real numbers:,305,14
S1,52,D,1105,7,7,wet,259,60,0.8119122257,,,,,,
S1,38,D,1063,8,7,wet,318,11,0.9665653495,,,,,,
S1,371,D,1214,9,7,wet,292,4,0.9864864865,,,,,,
S1,39A,D,1070,10,7,wet,295,7,0.9768211921,,,,,,
S1,54,D,1113,11,7,wet,,,#DIV/0!,47,8,total pollen ,,,
S1,6,D,1023,12,7,wet,296,22,0.9308176101,,,,,,
S1,170,W,1169,13,7,wet,288,16,0.9473684211,,,,,,
S1,372,D,1220,14,7,wet,287,6,0.9795221843,,,,,,
S1,40,D,1082,15,7,wet,320,7,0.9785932722,,,,,,
S1,1,W,1001,16,7,wet,307,8,0.9746031746,,,,,,
S1,32,W,1042,17,7,wet,172,175,0.4956772334,,,,,,
