Generation,Timeline (ignore),Parental(ignore),ID,Treatment,# of Seeds ,Weight_200_seeds (mg),Weight_total (mg),Weight_1seed,Num_seeds
S1,1,W,1000,wet,200,4.627,48.13,0.023135,2080.397666
S1,1,W,1000,dry,187,5.002,36.629,0.0267486631,1369.376849
S1,1,W,1001,wet,,,,#DIV/0!,#DIV/0!
S1,1,W,1001,dry,,,,#DIV/0!,#DIV/0!
S1,1,W,1002,wet,194,5.639,26.71,0.02906701031,918.9111545
S1,1,W,1002,dry,,,,#DIV/0!,#DIV/0!
S1,1,D,1003,wet,,,,#DIV/0!,#DIV/0!
S1,1,D,1003,dry,,,,#DIV/0!,#DIV/0!
S1,1,D,1004,wet,200,4.301,32.089,0.021505,1492.164613
S1,1,D,1004,dry,,,,#DIV/0!,#DIV/0!
S1,1,D,1005,wet,212,4.729,43.391,0.02230660377,1945.208712
S1,1,D,1005,dry,,,,#DIV/0!,#DIV/0!
S1,3,W,1006,wet,,,,#DIV/0!,#DIV/0!
S1,3,W,1006,dry,,,,#DIV/0!,#DIV/0!
S1,3,W,1007,wet,,,,#DIV/0!,#DIV/0!
S1,3,W,1007,dry,,,,#DIV/0!,#DIV/0!
S1,3,W,1008,wet,,,                                                                                                                                                  ,#DIV/0!,#DIV/0!
S1,3,W,1008,dry,,,,#DIV/0!,#DIV/0!
S1,3,D,1009,wet,,,,#DIV/0!,#DIV/0!
S1,3,D,1009,dry,,,,#DIV/0!,#DIV/0!
S1,3,D,1010,wet,,,,#DIV/0!,#DIV/0!
S1,3,D,1010,dry,188,5.639,29.156,0.02999468085,972.039014
S1,3,D,1011,wet,,,,#DIV/0!,#DIV/0!
S1,3,D,1011,dry,,,,#DIV/0!,#DIV/0!
S1,4,W,1012,wet,,,,#DIV/0!,#DIV/0!
S1,4,W,1012,dry,,,,#DIV/0!,#DIV/0!
S1,4,W,1013,wet,,,,#DIV/0!,#DIV/0!
S1,4,W,1013,dry,198,4.973,35.994,0.02511616162,1433.101146
S1,4,W,1014,wet,200,4.719,19.624,0.023595,831.7016317
S1,4,W,1014,dry,,,,#DIV/0!,#DIV/0!
S1,4,D,1015,wet,,,,#DIV/0!,#DIV/0!
S1,4,D,1015,dry,203,4.669,30.302,0.023,1317.478261
S1,4,D,1016,wet,207,3.910,25.296,0.01888888889,1339.2
S1,4,D,1016,dry,178,4.165,33.962,0.0233988764,1451.437215
S1,4,D,1017,wet,,,,#DIV/0!,#DIV/0!
S1,4,D,1017,dry,175,3.673,29.458,0.02098857143,1403.525728
S1,6,W,1018,wet,,,,#DIV/0!,#DIV/0!
S1,6,W,1018,dry,,,,#DIV/0!,#DIV/0!
S1,6,W,1019,wet,178,3.873,16.194,0.02175842697,744.2633617
S1,6,W,1019,dry,,,,#DIV/0!,#DIV/0!
S1,6,W,1020,wet,175,4.084,36.702,0.02333714286,1572.686092
S1,6,W,1020,dry,187,4.173,24.816,0.02231550802,1112.051761
S1,6,D,1021,wet,,,,#DIV/0!,#DIV/0!
S1,6,D,1021,dry,171,3.951,26.159,0.02310526316,1132.166287
S1,6,D,1022,wet,230,4.055,43.035,0.01763043478,2440.949445
S1,6,D,1022,dry,,,,#DIV/0!,#DIV/0!
S1,6,D,1023,wet,219,2.499,32.892,0.0114109589,2882.492197
S1,6,D,1023,dry,,,,#DIV/0!,#DIV/0!
S1,7,W,1024,wet,,,,#DIV/0!,#DIV/0!
S1,7,W,1024,dry,200,5.494,43.704,0.02747,1590.971969
S1,7,W,1025,wet,,,,#DIV/0!,#DIV/0!
S1,7,W,1025,dry,,,,#DIV/0!,#DIV/0!
S1,7,W,1026,wet,,,,#DIV/0!,#DIV/0!
S1,7,W,1026,dry,198,4.417,46.128,0.02230808081,2067.770885
S1,7,D,1027,wet,,,,#DIV/0!,#DIV/0!
S1,7,D,1027,dry,226,6.329,38.609,0.02800442478,1378.674988
S1,7,D,1028,wet,,,,#DIV/0!,#DIV/0!
S1,7,D,1028,dry,,,,#DIV/0!,#DIV/0!
S1,7,D,1029,wet,,,,#DIV/0!,#DIV/0!
S1,7,D,1029,dry,213,4.207,49.996,0.01975117371,2531.292608
S1,28,W,1030,wet,,,,#DIV/0!,#DIV/0!
S1,28,W,1030,dry,,,,#DIV/0!,#DIV/0!
S1,28,W,1031,wet,,,,#DIV/0!,#DIV/0!
S1,28,W,1031,dry,,,,#DIV/0!,#DIV/0!
S1,28,W,1032,wet,,,,#DIV/0!,#DIV/0!
S1,28,W,1032,dry,191,4.841,58.782,0.02534554974,2319.223714
S1,28,D,1033,wet,,,,#DIV/0!,#DIV/0!
S1,28,D,1033,dry,,,,#DIV/0!,#DIV/0!
S1,28,D,1034,wet,,,,#DIV/0!,#DIV/0!
S1,28,D,1034,dry,,,,#DIV/0!,#DIV/0!
S1,28,D,1035,wet,,,,#DIV/0!,#DIV/0!
S1,28,D,1035,dry,,,,#DIV/0!,#DIV/0!
S1,29,W,1036,wet,,,,#DIV/0!,#DIV/0!
S1,29,W,1036,dry,,,,#DIV/0!,#DIV/0!
S1,29,W,1037,wet,,,,#DIV/0!,#DIV/0!
S1,29,W,1037,dry,197,4.192,38.685,0.02127918782,1817.973521
S1,29,W,1038,wet,,,,#DIV/0!,#DIV/0!
S1,29,W,1038,dry,188,4.805,39.112,0.02555851064,1530.292612
S1,29,D,1039,wet,,,,#DIV/0!,#DIV/0!
S1,29,D,1039,dry,,,,#DIV/0!,#DIV/0!
S1,29,D,1040,wet,,,,#DIV/0!,#DIV/0!
S1,29,D,1040,dry,,,,#DIV/0!,#DIV/0!
S1,29,D,1041,wet,,,,#DIV/0!,#DIV/0!
S1,29,D,1041,dry,,,,#DIV/0!,#DIV/0!
S1,32,W,1042,wet,,,,#DIV/0!,#DIV/0!
S1,32,W,1042,dry,191,4.907,47.351,0.02569109948,1843.089668
S1,32,W,1043,wet,192,3.965,40.294,0.02065104167,1951.184868
S1,32,W,1043,dry,200,4.572,41.374,0.02286,1809.886264
S1,32,W,1044,wet,,,,#DIV/0!,#DIV/0!
S1,32,W,1044,dry,,,,#DIV/0!,#DIV/0!
S1,32,D,1045,wet,200,4.038,43.664,0.02019,2162.65478
S1,32,D,1045,dry,,,,#DIV/0!,#DIV/0!
S1,32,D,1046,wet,,,,#DIV/0!,#DIV/0!
S1,32,D,1046,dry,,,,#DIV/0!,#DIV/0!
S1,32,D,1047,wet,,,,#DIV/0!,#DIV/0!
S1,32,D,1047,dry,,,,#DIV/0!,#DIV/0!
S1,35,W,1048,wet,200,4.458,18.600,0.02229,834.4549125
S1,35,W,1048,dry,,,,#DIV/0!,#DIV/0!
S1,35,W,1049,wet,,,,#DIV/0!,#DIV/0!
S1,35,W,1049,dry,,,,#DIV/0!,#DIV/0!
S1,35,W,1050,wet,,,,#DIV/0!,#DIV/0!
S1,35,W,1050,dry,,,,#DIV/0!,#DIV/0!
S1,35,D,1051,wet,,,,#DIV/0!,#DIV/0!
S1,35,D,1051,dry,,,,#DIV/0!,#DIV/0!
S1,35,D,1052,wet,,,,#DIV/0!,#DIV/0!
S1,35,D,1052,dry,,,,#DIV/0!,#DIV/0!
S1,35,D,1053,wet,,,,#DIV/0!,#DIV/0!
S1,35,D,1053,dry,,,,#DIV/0!,#DIV/0!
S1,37,W,1054,wet,,,,#DIV/0!,#DIV/0!
S1,37,W,1054,dry,173,4.604,41.562,0.02661271676,1561.734579
S1,37,W,1055,wet,,,,#DIV/0!,#DIV/0!
S1,37,W,1055,dry,177,3.277,32.233,0.01851412429,1740.995117
S1,37,W,1056,wet,,,,#DIV/0!,#DIV/0!
S1,37,W,1056,dry,,,,#DIV/0!,#DIV/0!
S1,37,D,1057,wet,200,4.341,56.613,0.021705,2608.29302
S1,37,D,1057,dry,,,,#DIV/0!,#DIV/0!
S1,37,D,1058,wet,,,,#DIV/0!,#DIV/0!
S1,37,D,1058,dry,,,,#DIV/0!,#DIV/0!
S1,37,D,1059,wet,,,,#DIV/0!,#DIV/0!
S1,37,D,1059,dry,,,,#DIV/0!,#DIV/0!
S1,38,W,1060,wet,205,4.430,54.476,0.0216097561,2520.89842
S1,38,W,1060,dry,,,,#DIV/0!,#DIV/0!
S1,38,W,1061,wet,214,3.087,18.569,0.01442523364,1287.258179
S1,38,W,1061,dry,,,,#DIV/0!,#DIV/0!
S1,38,W,1062,wet,,,,#DIV/0!,#DIV/0!
S1,38,W,1062,dry,187,3.176,10.992,0.01698395722,647.1989924
S1,38,D,1063,wet,,,,#DIV/0!,#DIV/0!
S1,38,D,1063,dry,203,3.882,49.69,0.01912315271,2598.420917
S1,38,D,1064,wet,,,,#DIV/0!,#DIV/0!
S1,38,D,1064,dry,,,,#DIV/0!,#DIV/0!
S1,38,D,1065,wet,,,,#DIV/0!,#DIV/0!
S1,38,D,1065,dry,,,,#DIV/0!,#DIV/0!
S1,39A,W,1066,wet,200,3.053,23.916,0.015265,1566.721258
S1,39A,W,1066,dry,190,2.985,27.823,0.01571052632,1770.978224
S1,39A,W,1067,wet,210,3.661,38.384,0.01743333333,2201.759082
S1,39A,W,1067,dry,203,5.528,17.664,0.02723152709,648.6599132
S1,39A,W,1068,wet,,,,#DIV/0!,#DIV/0!
S1,39A,W,1068,dry,197,4.279,43.252,0.02172081218,1991.269923
S1,39A,D,1069,wet,205,4.978,61.013,0.02428292683,2512.588389
S1,39A,D,1069,dry,,,,#DIV/0!,#DIV/0!
