Generation,Timeline,Parental,PARENT_ID,ID,Treatment,tags,number
S2,1,D,1000,2000,W,2000 _ W,1
S2,1,W,1000,2003,W,2003 _ W,1
S2,1,D,1001,2006,W,2006 _ W,1
S2,1,W,1001,2009,W,2009 _ W,1
S2,1,D,1002,2012,W,2012 _ W,1
S2,1,W,1002,2015,W,2015 _ W,1
S2,1,D,1003,2018,W,2018 _ W,1
S2,1,W,1003,2021,W,2021 _ W,1
S2,1,D,1004,2024,W,2024 _ W,1
S2,1,W,1004,2027,W,2027 _ W,1
S2,1,D,1005,2030,W,2030 _ W,1
S2,1,W,1005,2033,W,2033 _ W,1
S2,3,D,1006,2036,W,2036 _ W,1
S2,3,W,1006,2039,W,2039 _ W,1
S2,3,D,1007,2042,W,2042 _ W,1
S2,3,W,1007,2045,W,2045 _ W,1
S2,3,D,1008,2048,W,2048 _ W,1
S2,3,W,1008,2051,W,2051 _ W,1
S2,3,D,1009,2054,W,2054 _ W,1
S2,3,W,1009,2057,W,2057 _ W,1
S2,3,D,1010,2060,W,2060 _ W,1
S2,3,W,1010,2063,W,2063 _ W,1
S2,3,D,1011,2066,W,2066 _ W,1
S2,3,W,1011,2069,W,2069 _ W,1
S2,4,D,1012,2072,W,2072 _ W,1
S2,4,W,1012,2075,W,2075 _ W,1
S2,4,D,1013,2078,W,2078 _ W,1
S2,4,W,1013,2081,W,2081 _ W,1
S2,4,D,1014,2084,W,2084 _ W,1
S2,4,W,1014,2087,W,2087 _ W,1
S2,4,D,1015,2090,W,2090 _ W,1
S2,4,W,1015,2093,W,2093 _ W,1
S2,4,D,1016,2096,W,2096 _ W,1
S2,4,W,1016,2099,W,2099 _ W,1
S2,4,D,1017,2102,W,2102 _ W,1
S2,4,W,1017,2105,W,2105 _ W,1
S2,6,D,1018,2108,W,2108 _ W,1
S2,6,W,1018,2111,W,2111 _ W,1
S2,6,D,1019,2114,W,2114 _ W,1
S2,6,W,1019,2117,W,2117 _ W,1
S2,6,D,1020,2120,W,2120 _ W,1
S2,6,W,1020,2123,W,2123 _ W,1
S2,6,D,1021,2126,W,2126 _ W,1
S2,6,W,1021,2129,W,2129 _ W,1
S2,6,D,1022,2132,W,2132 _ W,1
S2,6,W,1022,2135,W,2135 _ W,1
S2,6,D,1023,2138,W,2138 _ W,1
S2,6,W,1023,2141,W,2141 _ W,1
S2,7,D,1024,2144,W,2144 _ W,1
S2,7,W,1024,2147,W,2147 _ W,1
S2,7,D,1025,2150,W,2150 _ W,1
S2,7,W,1025,2153,W,2153 _ W,1
S2,7,D,1026,2156,W,2156 _ W,1
S2,7,W,1026,2159,W,2159 _ W,1
S2,7,D,1027,2162,W,2162 _ W,1
S2,7,W,1027,2165,W,2165 _ W,1
S2,7,D,1028,2168,W,2168 _ W,1
S2,7,W,1028,2171,W,2171 _ W,1
S2,7,D,1029,2174,W,2174 _ W,1
S2,7,W,1029,2177,W,2177 _ W,1
S2,28,D,1030,2180,W,2180 _ W,1
S2,28,W,1030,2183,W,2183 _ W,1
S2,28,D,1031,2186,W,2186 _ W,1
S2,28,W,1031,2189,W,2189 _ W,1
S2,28,D,1032,2192,W,2192 _ W,1
S2,28,W,1032,2195,W,2195 _ W,1
S2,28,D,1033,2198,W,2198 _ W,1
S2,28,W,1033,2201,W,2201 _ W,1
S2,28,D,1034,2204,W,2204 _ W,1
S2,28,W,1034,2207,W,2207 _ W,1
S2,28,D,1035,2210,W,2210 _ W,1
S2,28,W,1035,2213,W,2213 _ W,1
S2,29,D,1036,2216,W,2216 _ W,1
S2,29,W,1036,2219,W,2219 _ W,1
S2,29,D,1037,2222,W,2222 _ W,1
S2,29,W,1037,2225,W,2225 _ W,1
S2,29,D,1038,2228,W,2228 _ W,1
S2,29,W,1038,2231,W,2231 _ W,1
S2,29,D,1039,2234,W,2234 _ W,1
S2,29,W,1039,2237,W,2237 _ W,1
S2,29,D,1040,2240,W,2240 _ W,1
S2,29,W,1040,2243,W,2243 _ W,1
S2,29,D,1041,2246,W,2246 _ W,1
S2,29,W,1041,2249,W,2249 _ W,1
S2,32,D,1042,2252,W,2252 _ W,1
S2,32,W,1042,2255,W,2255 _ W,1
S2,32,D,1043,2258,W,2258 _ W,1
S2,32,W,1043,2261,W,2261 _ W,1
S2,32,D,1044,2264,W,2264 _ W,1
S2,32,W,1044,2267,W,2267 _ W,1
S2,32,D,1045,2270,W,2270 _ W,1
S2,32,W,1045,2273,W,2273 _ W,1
S2,32,D,1046,2276,W,2276 _ W,1
S2,32,W,1046,2279,W,2279 _ W,1
S2,32,D,1047,2282,W,2282 _ W,1
S2,32,W,1047,2285,W,2285 _ W,1
S2,35,D,1048,2288,W,2288 _ W,1
