Generation,Timeline,S0_ID,S1_ID,ID
S2,1,D,1000,2000
S2,1,D,1000,2001
S2,1,D,1000,2002
S2,1,W,1000,2003
S2,1,W,1000,2004
S2,1,W,1000,2005
S2,1,D,1001,2006
S2,1,D,1001,2007
S2,1,D,1001,2008
S2,1,W,1001,2009
S2,1,W,1001,2010
S2,1,W,1001,2011
S2,1,D,1002,2012
S2,1,D,1002,2013
S2,1,D,1002,2014
S2,1,W,1002,2015
S2,1,W,1002,2016
S2,1,W,1002,2017
S2,1,D,1003,2018
S2,1,D,1003,2019
S2,1,D,1003,2020
S2,1,W,1003,2021
S2,1,W,1003,2022
S2,1,W,1003,2023
S2,1,D,1004,2024
S2,1,D,1004,2025
S2,1,D,1004,2026
S2,1,W,1004,2027
S2,1,W,1004,2028
S2,1,W,1004,2029
S2,1,D,1005,2030
S2,1,D,1005,2031
S2,1,D,1005,2032
S2,1,W,1005,2033
S2,1,W,1005,2034
S2,1,W,1005,2035
S2,3,D,1006,2036
S2,3,D,1006,2037
S2,3,D,1006,2038
S2,3,W,1006,2039
S2,3,W,1006,2040
S2,3,W,1006,2041
S2,3,D,1007,2042
S2,3,D,1007,2043
S2,3,D,1007,2044
S2,3,W,1007,2045
S2,3,W,1007,2046
S2,3,W,1007,2047
S2,3,D,1008,2048
S2,3,D,1008,2049
S2,3,D,1008,2050
S2,3,W,1008,2051
S2,3,W,1008,2052
S2,3,W,1008,2053
S2,3,D,1009,2054
S2,3,D,1009,2055
S2,3,D,1009,2056
S2,3,W,1009,2057
S2,3,W,1009,2058
S2,3,W,1009,2059
S2,3,D,1010,2060
S2,3,D,1010,2061
S2,3,D,1010,2062
S2,3,W,1010,2063
S2,3,W,1010,2064
S2,3,W,1010,2065
S2,3,D,1011,2066
S2,3,D,1011,2067
S2,3,D,1011,2068
S2,3,W,1011,2069
S2,3,W,1011,2070
S2,3,W,1011,2071
S2,4,D,1012,2072
S2,4,D,1012,2073
S2,4,D,1012,2074
S2,4,W,1012,2075
S2,4,W,1012,2076
S2,4,W,1012,2077
S2,4,D,1013,2078
S2,4,D,1013,2079
S2,4,D,1013,2080
S2,4,W,1013,2081
S2,4,W,1013,2082
S2,4,W,1013,2083
S2,4,D,1014,2084
S2,4,D,1014,2085
S2,4,D,1014,2086
S2,4,W,1014,2087
S2,4,W,1014,2088
S2,4,W,1014,2089
S2,4,D,1015,2090
S2,4,D,1015,2091
S2,4,D,1015,2092
S2,4,W,1015,2093
S2,4,W,1015,2094
S2,4,W,1015,2095
S2,4,D,1016,2096
S2,4,D,1016,2097
S2,4,D,1016,2098
S2,4,W,1016,2099
S2,4,W,1016,2100
S2,4,W,1016,2101
S2,4,D,1017,2102
S2,4,D,1017,2103
S2,4,D,1017,2104
S2,4,W,1017,2105
S2,4,W,1017,2106
S2,4,W,1017,2107
S2,6,D,1018,2108
S2,6,D,1018,2109
S2,6,D,1018,2110
S2,6,W,1018,2111
S2,6,W,1018,2112
S2,6,W,1018,2113
S2,6,D,1019,2114
S2,6,D,1019,2115
S2,6,D,1019,2116
S2,6,W,1019,2117
S2,6,W,1019,2118
S2,6,W,1019,2119
S2,6,D,1020,2120
S2,6,D,1020,2121
S2,6,D,1020,2122
S2,6,W,1020,2123
S2,6,W,1020,2124
S2,6,W,1020,2125
S2,6,D,1021,2126
S2,6,D,1021,2127
S2,6,D,1021,2128
S2,6,W,1021,2129
S2,6,W,1021,2130
S2,6,W,1021,2131
S2,6,D,1022,2132
S2,6,D,1022,2133
S2,6,D,1022,2134
S2,6,W,1022,2135
S2,6,W,1022,2136
S2,6,W,1022,2137
S2,6,D,1023,2138
S2,6,D,1023,2139
S2,6,D,1023,2140
S2,6,W,1023,2141
S2,6,W,1023,2142
S2,6,W,1023,2143
S2,7,D,1024,2144
S2,7,D,1024,2145
S2,7,D,1024,2146
S2,7,W,1024,2147
S2,7,W,1024,2148
S2,7,W,1024,2149
S2,7,D,1025,2150
S2,7,D,1025,2151
S2,7,D,1025,2152
S2,7,W,1025,2153
S2,7,W,1025,2154
S2,7,W,1025,2155
S2,7,D,1026,2156
S2,7,D,1026,2157
S2,7,D,1026,2158
S2,7,W,1026,2159
S2,7,W,1026,2160
S2,7,W,1026,2161
S2,7,D,1027,2162
S2,7,D,1027,2163
S2,7,D,1027,2164
S2,7,W,1027,2165
S2,7,W,1027,2166
S2,7,W,1027,2167
S2,7,D,1028,2168
S2,7,D,1028,2169
S2,7,D,1028,2170
S2,7,W,1028,2171
S2,7,W,1028,2172
S2,7,W,1028,2173
S2,7,D,1029,2174
S2,7,D,1029,2175
S2,7,D,1029,2176
S2,7,W,1029,2177
S2,7,W,1029,2178
S2,7,W,1029,2179
S2,28,D,1030,2180
S2,28,D,1030,2181
S2,28,D,1030,2182
S2,28,W,1030,2183
S2,28,W,1030,2184
S2,28,W,1030,2185
S2,28,D,1031,2186
S2,28,D,1031,2187
S2,28,D,1031,2188
S2,28,W,1031,2189
S2,28,W,1031,2190
S2,28,W,1031,2191
S2,28,D,1032,2192
S2,28,D,1032,2193
S2,28,D,1032,2194
S2,28,W,1032,2195
S2,28,W,1032,2196
S2,28,W,1032,2197
S2,28,D,1033,2198
S2,28,D,1033,2199
S2,28,D,1033,2200
S2,28,W,1033,2201
S2,28,W,1033,2202
S2,28,W,1033,2203
S2,28,D,1034,2204
S2,28,D,1034,2205
S2,28,D,1034,2206
S2,28,W,1034,2207
S2,28,W,1034,2208
S2,28,W,1034,2209
S2,28,D,1035,2210
S2,28,D,1035,2211
S2,28,D,1035,2212
S2,28,W,1035,2213
S2,28,W,1035,2214
S2,28,W,1035,2215
S2,29,D,1036,2216
S2,29,D,1036,2217
S2,29,D,1036,2218
S2,29,W,1036,2219
S2,29,W,1036,2220
S2,29,W,1036,2221
S2,29,D,1037,2222
S2,29,D,1037,2223
S2,29,D,1037,2224
S2,29,W,1037,2225
S2,29,W,1037,2226
S2,29,W,1037,2227
S2,29,D,1038,2228
S2,29,D,1038,2229
S2,29,D,1038,2230
S2,29,W,1038,2231
S2,29,W,1038,2232
S2,29,W,1038,2233
S2,29,D,1039,2234
S2,29,D,1039,2235
S2,29,D,1039,2236
S2,29,W,1039,2237
S2,29,W,1039,2238
S2,29,W,1039,2239
S2,29,D,1040,2240
S2,29,D,1040,2241
S2,29,D,1040,2242
S2,29,W,1040,2243
S2,29,W,1040,2244
S2,29,W,1040,2245
S2,29,D,1041,2246
S2,29,D,1041,2247
S2,29,D,1041,2248
S2,29,W,1041,2249
S2,29,W,1041,2250
S2,29,W,1041,2251
S2,32,D,1042,2252
S2,32,D,1042,2253
S2,32,D,1042,2254
S2,32,W,1042,2255
S2,32,W,1042,2256
S2,32,W,1042,2257
S2,32,D,1043,2258
S2,32,D,1043,2259
S2,32,D,1043,2260
S2,32,W,1043,2261
S2,32,W,1043,2262
S2,32,W,1043,2263
S2,32,D,1044,2264
S2,32,D,1044,2265
S2,32,D,1044,2266
S2,32,W,1044,2267
S2,32,W,1044,2268
S2,32,W,1044,2269
S2,32,D,1045,2270
S2,32,D,1045,2271
S2,32,D,1045,2272
S2,32,W,1045,2273
S2,32,W,1045,2274
S2,32,W,1045,2275
S2,32,D,1046,2276
S2,32,D,1046,2277
S2,32,D,1046,2278
S2,32,W,1046,2279
S2,32,W,1046,2280
S2,32,W,1046,2281
S2,32,D,1047,2282
S2,32,D,1047,2283
S2,32,D,1047,2284
S2,32,W,1047,2285
S2,32,W,1047,2286
S2,32,W,1047,2287
S2,35,D,1048,2288
S2,35,D,1048,2289
S2,35,D,1048,2290
S2,35,W,1048,2291
S2,35,W,1048,2292
S2,35,W,1048,2293
S2,35,D,1049,2294
S2,35,D,1049,2295
S2,35,D,1049,2296
S2,35,W,1049,2297
S2,35,W,1049,2298
S2,35,W,1049,2299
S2,35,D,1050,2300
S2,35,D,1050,2301
S2,35,D,1050,2302
S2,35,W,1050,2303
S2,35,W,1050,2304
S2,35,W,1050,2305
S2,35,D,1051,2306
S2,35,D,1051,2307
S2,35,D,1051,2308
S2,35,W,1051,2309
S2,35,W,1051,2310
S2,35,W,1051,2311
S2,35,D,1052,2312
S2,35,D,1052,2313
S2,35,D,1052,2314
S2,35,W,1052,2315
S2,35,W,1052,2316
S2,35,W,1052,2317
S2,35,D,1053,2318
S2,35,D,1053,2319
S2,35,D,1053,2320
S2,35,W,1053,2321
S2,35,W,1053,2322
S2,35,W,1053,2323
S2,37,D,1054,2324
S2,37,D,1054,2325
S2,37,D,1054,2326
S2,37,W,1054,2327
S2,37,W,1054,2328
S2,37,W,1054,2329
S2,37,D,1055,2330
S2,37,D,1055,2331
S2,37,D,1055,2332
S2,37,W,1055,2333
S2,37,W,1055,2334
S2,37,W,1055,2335
S2,37,D,1056,2336
S2,37,D,1056,2337
S2,37,D,1056,2338
S2,37,W,1056,2339
S2,37,W,1056,2340
S2,37,W,1056,2341
S2,37,D,1057,2342
S2,37,D,1057,2343
S2,37,D,1057,2344
S2,37,W,1057,2345
S2,37,W,1057,2346
S2,37,W,1057,2347
S2,37,D,1058,2348
S2,37,D,1058,2349
S2,37,D,1058,2350
S2,37,W,1058,2351
S2,37,W,1058,2352
S2,37,W,1058,2353
S2,37,D,1059,2354
S2,37,D,1059,2355
S2,37,D,1059,2356
S2,37,W,1059,2357
S2,37,W,1059,2358
S2,37,W,1059,2359
S2,38,D,1060,2360
S2,38,D,1060,2361
S2,38,D,1060,2362
S2,38,W,1060,2363
S2,38,W,1060,2364
S2,38,W,1060,2365
S2,38,D,1061,2366
S2,38,D,1061,2367
S2,38,D,1061,2368
S2,38,W,1061,2369
S2,38,W,1061,2370
S2,38,W,1061,2371
S2,38,D,1062,2372
S2,38,D,1062,2373
S2,38,D,1062,2374
S2,38,W,1062,2375
S2,38,W,1062,2376
S2,38,W,1062,2377
S2,38,D,1063,2378
S2,38,D,1063,2379
S2,38,D,1063,2380
S2,38,W,1063,2381
S2,38,W,1063,2382
S2,38,W,1063,2383
S2,38,D,1064,2384
S2,38,D,1064,2385
S2,38,D,1064,2386
S2,38,W,1064,2387
S2,38,W,1064,2388
S2,38,W,1064,2389
S2,38,D,1065,2390
S2,38,D,1065,2391
S2,38,D,1065,2392
S2,38,W,1065,2393
S2,38,W,1065,2394
S2,38,W,1065,2395
S2,39A,D,1066,2396
S2,39A,D,1066,2397
S2,39A,D,1066,2398
S2,39A,W,1066,2399
S2,39A,W,1066,2400
S2,39A,W,1066,2401
S2,39A,D,1067,2402
S2,39A,D,1067,2403
S2,39A,D,1067,2404
S2,39A,W,1067,2405
S2,39A,W,1067,2406
S2,39A,W,1067,2407
S2,39A,D,1068,2408
S2,39A,D,1068,2409
S2,39A,D,1068,2410
S2,39A,W,1068,2411
S2,39A,W,1068,2412
S2,39A,W,1068,2413
S2,39A,D,1069,2414
S2,39A,D,1069,2415
S2,39A,D,1069,2416
S2,39A,W,1069,2417
S2,39A,W,1069,2418
S2,39A,W,1069,2419
S2,39A,D,1070,2420
S2,39A,D,1070,2421
S2,39A,D,1070,2422
S2,39A,W,1070,2423
S2,39A,W,1070,2424
S2,39A,W,1070,2425
S2,39A,D,1071,2426
S2,39A,D,1071,2427
S2,39A,D,1071,2428
S2,39A,W,1071,2429
S2,39A,W,1071,2430
S2,39A,W,1071,2431
S2,39B,D,1072,2432
S2,39B,D,1072,2433
S2,39B,D,1072,2434
S2,39B,W,1072,2435
S2,39B,W,1072,2436
S2,39B,W,1072,2437
S2,39B,D,1073,2438
S2,39B,D,1073,2439
S2,39B,D,1073,2440
S2,39B,W,1073,2441
S2,39B,W,1073,2442
S2,39B,W,1073,2443
S2,39B,D,1074,2444
S2,39B,D,1074,2445
S2,39B,D,1074,2446
S2,39B,W,1074,2447
S2,39B,W,1074,2448
S2,39B,W,1074,2449
S2,39B,D,1075,2450
S2,39B,D,1075,2451
S2,39B,D,1075,2452
S2,39B,W,1075,2453
S2,39B,W,1075,2454
S2,39B,W,1075,2455
S2,39B,D,1076,2456
S2,39B,D,1076,2457
S2,39B,D,1076,2458
S2,39B,W,1076,2459
S2,39B,W,1076,2460
S2,39B,W,1076,2461
S2,39B,D,1077,2462
S2,39B,D,1077,2463
S2,39B,D,1077,2464
S2,39B,W,1077,2465
S2,39B,W,1077,2466
S2,39B,W,1077,2467
S2,40,D,1078,2468
S2,40,D,1078,2469
S2,40,D,1078,2470
S2,40,W,1078,2471
S2,40,W,1078,2472
S2,40,W,1078,2473
S2,40,D,1079,2474
S2,40,D,1079,2475
S2,40,D,1079,2476
S2,40,W,1079,2477
S2,40,W,1079,2478
S2,40,W,1079,2479
S2,40,D,1080,2480
S2,40,D,1080,2481
S2,40,D,1080,2482
S2,40,W,1080,2483
S2,40,W,1080,2484
S2,40,W,1080,2485
S2,40,D,1081,2486
S2,40,D,1081,2487
S2,40,D,1081,2488
S2,40,W,1081,2489
S2,40,W,1081,2490
S2,40,W,1081,2491
S2,40,D,1082,2492
S2,40,D,1082,2493
S2,40,D,1082,2494
S2,40,W,1082,2495
S2,40,W,1082,2496
S2,40,W,1082,2497
S2,40,D,1083,2498
S2,40,D,1083,2499
S2,40,D,1083,2500
S2,40,W,1083,2501
S2,40,W,1083,2502
S2,40,W,1083,2503
S2,41,D,1084,2504
S2,41,D,1084,2505
S2,41,D,1084,2506
S2,41,W,1084,2507
S2,41,W,1084,2508
S2,41,W,1084,2509
S2,41,D,1085,2510
S2,41,D,1085,2511
S2,41,D,1085,2512
S2,41,W,1085,2513
S2,41,W,1085,2514
S2,41,W,1085,2515
S2,41,D,1086,2516
S2,41,D,1086,2517
S2,41,D,1086,2518
S2,41,W,1086,2519
S2,41,W,1086,2520
S2,41,W,1086,2521
S2,41,D,1087,2522
S2,41,D,1087,2523
S2,41,D,1087,2524
S2,41,W,1087,2525
S2,41,W,1087,2526
S2,41,W,1087,2527
S2,41,D,1088,2528
S2,41,D,1088,2529
