Treatment,ID,ww,sa,dw,wc,sla
Dry,3144,0.07,3.227,0.02,0.05,161.35
Dry,2370,0.58,12.099,0.132,0.448,91.65909091
Dry,3066,0.1,3.609,0.014,0.086,257.7857143
Dry,3141,0.22,9.492,0.037,0.183,256.5405405
Dry,2928,0.16,7.522,0.047,0.113,160.0425532
Dry,2157,0.03,1.491,0.007,0.023,213
Dry,2520,0.12,5.015,0.036,0.084,139.3055556
Dry,3243,0.1,4.937,0.038,0.062,129.9210526
Dry,3003,0.12,4.718,0.018,0.102,262.1111111
Dry,2994,,,,0,#DIV/0!
Dry,3426,0.09,4.423,0.033,0.057,134.030303
Dry,2859,,,,0,#DIV/0!
Dry,2919,,,,0,#DIV/0!
Dry,2601,0.1,4.011,0.015,0.085,267.4
Dry,2208,,,,0,#DIV/0!
Dry,3114,0.07,3.346,0.025,0.045,133.84
Dry,2061,,,,0,#DIV/0!
Dry,2727,0.09,4.167,0.019,0.071,219.3157895
Dry,2289,0.2,8,0.046,0.154,173.9130435
Dry,2808,0.18,8.502,0.039,0.141,218
Dry,3030,,,,0,#DIV/0!
Dry,2688,0.1,4.221,0.022,0.078,191.8636364
Dry,2115,,,,0,#DIV/0!
Dry,2328,0.05,1.936,0.021,0.029,92.19047619
Dry,2343,0.11,5.419,0.018,0.092,301.0555556
Dry,3345,0.06,3.164,0.024,0.036,131.8333333
Dry,3438,0.22,8.435,0.045,0.175,187.4444444
Dry,2526,0.22,9.193,0.045,0.175,204.2888889
Dry,3069,0.15,6.182,0.03,0.12,206.0666667
Dry,2613,0.04,1.792,0.012,0.028,149.3333333
Dry,2346,0.06,1.946,0.009,0.051,216.2222222
Dry,3072,0.08,4.2,0.032,0.048,131.25
Dry,2514,0.1,4.172,0.037,0.063,112.7567568
Dry,3150,0.16,7.61,0.049,0.111,155.3061224
Dry,2166,0.12,2.545,0.008,0.112,318.125
Dry,2592,0.1,4.203,0.044,0.056,95.52272727
Dry,3222,,,,0,#DIV/0!
Dry,3234,0.04,3.389,0.038,0.002,89.18421053
Dry,2049,0.19,7.623,0.034,0.156,224.2058824
Dry,3036,0.12,4.927,0.024,0.096,205.2916667
Dry,2781,0.11,5.35,0.023,0.087,232.6086957
Dry,3213,0.13,4.861,0.041,0.089,118.5609756
Dry,2070,0.19,9.878,0.061,0.129,161.9344262
Dry,2295,0.16,6.529,0.046,0.114,141.9347826
Dry,2706,0.11,4.475,0.039,0.071,114.7435897
Dry,3261,0.12,5.49,0.031,0.089,177.0967742
Dry,3405,0.11,4.405,0.023,0.087,191.5217391
Dry,3201,0.13,5.952,0.037,0.093,160.8648649
Dry,3063,,,,0,#DIV/0!
Dry,2508,0.15,6.52,0.038,0.112,171.5789474
Dry,3090,,,,0,#DIV/0!
Dry,3291,0.11,4.713,0.023,0.087,204.9130435
Dry,3240,0.12,5.546,0.034,0.086,163.1176471
Dry,2376,0.18,5.931,0.028,0.152,211.8214286
Dry,2337,0.04,2.254,0.014,0.026,161
Dry,2958,0.06,2.257,0.013,0.047,173.6153846
Dry,3231,0.13,5.55,0.029,0.101,191.3793103
Dry,2883,0.09,3.971,0.031,0.059,128.0967742
Dry,3075,0.15,6.048,0.029,0.121,208.5517241
Dry,3294,0.1,4.05,0.022,0.078,184.0909091
Dry,3123,0.13,5.742,0.034,0.096,168.8823529
Dry,3390,0.1,3.832,0.018,0.082,212.8888889
Dry,2886,0.15,5.463,0.027,0.123,202.3333333
Dry,2247,,,,0,#DIV/0!
Dry,3060,,,,0,#DIV/0!
Dry,2205,,,,0,#DIV/0!
Dry,2403,0.18,6.17,0.037,0.143,166.7567568
Dry,2322,0.15,5.262,0.036,0.114,146.1666667
Dry,2373,0.21,6.937,0.048,0.162,144.5208333
Dry,2082,0.04,2.28,0.014,0.026,162.8571429
Dry,2451,,,,0,#DIV/0!
Dry,2967,0.09,3.581,0.02,0.07,179.05
Dry,2577,0.08,2.799,0.021,0.059,133.2857143
Dry,2970,0.08,3.043,0.018,0.062,169.0555556
Dry,3333,0.06,3.125,0.019,0.041,164.4736842
Dry,3339,0.06,2.534,0.016,0.044,158.375
Dry,2385,0.31,10.091,0.067,0.243,150.6119403
Dry,2136,0.06,2.836,0.018,0.042,157.5555556
Dry,2292,0.16,5.535,0.04,0.12,138.375
Dry,2151,0.04,1.64,0.014,0.026,117.1428571
Dry,2223,0.1,4.452,0.022,0.078,202.3636364
Dry,2769,0.11,5.161,0.028,0.082,184.3214286
Dry,2580,0.06,2.909,0.023,0.037,126.4782609
Dry,3015,0.1,3.408,0.023,0.077,148.173913
Dry,2982,0.1,3.698,0.024,0.076,154.0833333
Dry,2298,0.39,13.625,0.085,0.305,160.2941176
Dry,2271,0.13,4.514,0.035,0.095,128.9714286
Dry,3312,0.1,4.97,0.05,0.05,99.4
Dry,2013,0.15,5.605,0.037,0.113,151.4864865
Dry,2004,0.15,5.467,0.035,0.115,156.2
Dry,3027,0.1,4.071,0.024,0.076,169.625
Dry,3195,0.11,4.277,0.027,0.083,158.4074074
Dry,3093,,,,0,#DIV/0!
Dry,2178,0.03,1.145,0.007,0.023,163.5714286
Dry,2016,0.17,6.217,0.041,0.129,151.6341463
Dry,2379,0.12,3.491,0.055,0.065,63.47272727
Dry,3102,0.08,3.66,0.047,0.033,77.87234043
Dry,2718,0.15,5.48,0.044,0.106,124.5454545
Dry,2946,0.09,4.033,0.028,0.062,144.0357143
Dry,3183,0.27,10.377,0.038,0.232,273.0789474
Dry,2658,,,,0,#DIV/0!
Dry,2226,0.06,3.386,0.026,0.034,130.2307692
Dry,2922,0.09,3.87,0.062,0.028,62.41935484
Dry,2973,0.09,3.631,0.022,0.068,165.0454545
Dry,2877,0.08,3.703,0.042,0.038,88.16666667
Dry,3006,0.12,5.8,0.049,0.071,118.3673469
Dry,2754,0.05,1.685,0.016,0.034,105.3125
Dry,2331,0.06,2.709,0.025,0.035,108.36
Dry,2124,0.004,1.44,0.006,-0.002,240
Dry,2937,0.05,2.567,0.019,0.031,135.1052632
Dry,2556,0.1,3.005,0.031,0.069,96.93548387
Dry,3309,0.12,5.385,0.025,0.095,215.4
Dry,2772,,,,0,#DIV/0!
Dry,2412,0.1,4.015,0.042,0.058,95.5952381
Dry,2133,0.07,2.34,0.014,0.056,167.1428571
Dry,2661,0.1,4.111,0.03,0.07,137.0333333
Dry,3204,0.13,5.589,0.045,0.085,124.2
Dry,3366,0.11,5.174,0.043,0.067,120.3255814
Dry,2448,0.09,3.78,0.031,0.059,121.9354839
Dry,2751,0.02,1.283,0.028,-0.008,45.82142857
Dry,2961,0.06,3.394,0.019,0.041,178.6315789
Dry,2793,0.2,8.229,0.037,0.163,222.4054054
Dry,3099,,,,0,#DIV/0!
Dry,2187,0.07,3.291,0.037,0.033,88.94594595
Dry,2010,0.09,3.639,0.039,0.051,93.30769231
Dry,2766,0.04,2.69,0.036,0.004,74.72222222
Dry,3168,0.17,6.967,0.041,0.129,169.9268293
Dry,2127,0.09,3.767,0.02,0.07,188.35
Dry,3237,0.14,5.825,0.037,0.103,157.4324324
Dry,2181,0.11,4.842,0.051,0.059,94.94117647
Dry,2649,0.14,5.214,0.035,0.105,148.9714286
Dry,2418,0.17,5.738,0.025,0.145,229.52
Dry,3219,0.14,4.961,0.076,0.064,65.27631579
Dry,2559,0.09,2.948,0.017,0.073,173.4117647
Dry,3267,0.16,6.961,0.041,0.119,169.7804878
Dry,2541,0.14,5.152,0.037,0.103,139.2432432
Dry,2085,,,,0,#DIV/0!
Dry,2466,0.09,3.354,0.019,0.071,176.5263158
Dry,3258,0.17,6.441,0.038,0.132,169.5
Dry,2235,0.11,4.117,0.037,0.073,111.2702703
Dry,3180,0.08,3.668,0.037,0.043,99.13513514
Dry,3024,0.09,3.358,0.025,0.065,134.32
Dry,3096,,,,0,#DIV/0!
Dry,2007,0.15,6.054,0.026,0.124,232.8461538
Dry,2316,0.3,9.371,0.073,0.227,128.369863
Dry,2046,0.12,2.659,0.013,0.107,204.5384615
Dry,3276,0.14,5.191,0.03,0.11,173.0333333
Dry,2829,,,,0,#DIV/0!
Dry,2217,,,,0,#DIV/0!
Dry,2460,0.08,3.033,0.013,0.067,233.3076923
Dry,2313,0.14,5.325,0.044,0.096,121.0227273
Dry,2364,0.15,5.988,0.041,0.109,146.0487805
Dry,2028,0.03,2.64,0.027,0.003,97.77777778
Dry,2898,0.04,2.401,0.016,0.024,150.0625
Dry,2901,0.11,3.815,0.014,0.096,272.5
Dry,3372,0.14,5.672,0.027,0.113,210.0740741
Dry,2775,0.1,1.936,0.012,0.088,161.3333333
Dry,2598,0.05,2.661,0.016,0.034,166.3125
Dry,2256,0.07,2.899,0.023,0.047,126.0434783
Dry,3348,,,,0,#DIV/0!
Dry,3255,0.09,3.595,0.023,0.067,156.3043478
Dry,2691,0.09,3.199,0.019,0.071,168.3684211
Dry,2487,0.09,3.533,0.032,0.058,110.40625
Dry,2034,0.07,3.077,0.015,0.055,205.1333333
Dry,2202,0.05,2.024,0.014,0.036,144.5714286
Dry,2469,0.11,5.17,0.032,0.078,161.5625
Dry,2277,0.12,4.141,0.03,0.09,138.0333333
Dry,3051,0.05,2.722,0.016,0.034,170.125
Dry,2055,0.13,5.75,0.028,0.102,205.3571429
Dry,2568,0.12,4.266,0.028,0.092,152.3571429
Dry,2925,,,,0,#DIV/0!
Dry,2676,0.11,4.842,0.033,0.077,146.7272727
Dry,2439,,,,0,#DIV/0!
Dry,2733,0.05,1.582,0.007,0.043,226
Dry,2871,0.08,3.322,0.025,0.055,132.88
Dry,3210,0.12,5.311,0.028,0.092,189.6785714
Dry,2823,0.05,2.063,0.013,0.037,158.6923077
Dry,3279,0.07,2.792,0.015,0.055,186.1333333
Dry,2799,0.09,3.294,0.021,0.069,156.8571429
Dry,2748,,,,0,#DIV/0!
Dry,3225,0.07,2.497,0.019,0.051,131.4210526
Dry,2031,,,,0,#DIV/0!
Dry,2139,0.04,1.131,0.01,0.03,113.1
Dry,2679,0.06,2.635,0.018,0.042,146.3888889
Dry,2160,0.09,3.042,0.027,0.063,112.6666667
Dry,2934,0.08,3,0.018,0.062,166.6666667
Dry,2844,0.12,4.771,0.026,0.094,183.5
Dry,3393,0.11,3.949,0.014,0.096,282.0714286
Dry,2700,0.12,3.962,0.027,0.093,146.7407407
Dry,2280,0.19,6.23,0.05,0.14,124.6
Dry,3147,0.11,4.73,0.029,0.081,163.1034483
Dry,2916,0.14,6.709,0.04,0.1,167.725
Dry,2088,0.04,1.759,0.13,-0.09,13.53076923
Dry,2832,0.04,1.801,0.01,0.03,180.1
Dry,2817,0.12,5.389,0.017,0.103,317
Dry,2583,,,,0,#DIV/0!
Dry,2478,0.06,2.684,0.013,0.047,206.4615385
Dry,2703,0.14,5.179,0.083,0.057,62.39759036
Dry,2244,,,,0,#DIV/0!
Dry,2025,,,,0,#DIV/0!
Dry,2121,0.04,1.831,0.007,0.033,261.5714286
Dry,3057,0.07,2.479,0.019,0.051,130.4736842
Dry,2940,0.06,2.448,0.016,0.044,153
Dry,2667,0.14,5.54,0.035,0.105,158.2857143
Dry,2790,0.07,3.882,0.024,0.046,161.75
Dry,2424,0.21,7.317,0.064,0.146,114.328125
Dry,3423,0.09,3.826,0.018,0.072,212.5555556
Dry,3081,0.07,2.753,0.018,0.052,152.9444444
Dry,2409,0.14,5.452,0.034,0.106,160.3529412
Dry,2058,0.15,6.186,0.041,0.109,150.8780488
Dry,2100,0.11,4.461,0.028,0.082,159.3214286
Dry,3318,0.08,3.175,0.016,0.064,198.4375
Dry,3369,0.07,3.061,0.021,0.049,145.7619048
Dry,2664,0.035,1.361,0.009,0.026,151.2222222
Dry,2040,0.16,6.572,0.039,0.121,168.5128205
Dry,3399,0.2,7.967,0.046,0.154,173.1956522
Dry,3354,0.14,5.309,0.021,0.119,252.8095238
Dry,2904,0.16,6.264,0.031,0.129,202.0645161
Dry,2523,0.17,3.509,0.03,0.14,116.9666667
Dry,2301,0.12,4.473,0.032,0.088,139.78125
Dry,2019,,,,0,#DIV/0!
Dry,2079,0.05,1.842,0.015,0.035,122.8
Dry,3420,,,,0,#DIV/0!
Dry,2550,0.17,7.951,0.039,0.131,203.8717949
Dry,2538,0.11,4.378,0.031,0.079,141.2258065
Dry,3129,0.19,7.717,0.043,0.147,179.4651163
Dry,2826,0.13,5.291,0.028,0.102,188.9642857
Dry,3033,0.15,5.665,0.038,0.112,149.0789474
Dry,3087,,,,0,#DIV/0!
Dry,2610,0.08,2.865,0.02,0.06,143.25
Dry,3351,,,,0,#DIV/0!
Dry,3384,0.09,4.613,0.025,0.065,184.52
Dry,2589,0.03,1.451,0.008,0.022,181.375
Dry,2838,0.04,1.952,0.005,0.035,390.4
Dry,2148,0.07,2.434,0.011,0.059,221.2727273
Dry,2745,0.06,2.289,0.011,0.049,208.0909091
Dry,2037,0.21,8.138,0.039,0.171,208.6666667
Dry,2997,0.11,4.474,0.014,0.096,319.5714286
Dry,2511,0.08,3.747,0.024,0.056,156.125
Dry,2889,0.05,2.516,0.016,0.034,157.25
Dry,2130,0.04,1.442,0.012,0.028,120.1666667
Dry,2616,0.06,2.315,0.016,0.044,144.6875
Dry,3012,,,,0,#DIV/0!
Dry,2175,0.07,2.403,0.018,0.052,133.5
Dry,2358,0.11,4.899,0.034,0.076,144.0882353
Dry,2820,0.15,6.929,0.024,0.126,288.7083333
Dry,2985,0.13,5.473,0.028,0.102,195.4642857
Dry,2895,0.09,3.67,0.023,0.067,159.5652174
Dry,2436,0.19,7.555,0.04,0.15,188.875
Dry,2304,0.3,11.089,0.079,0.221,140.3670886
Dry,3381,0.11,4.331,0.019,0.091,227.9473684
Dry,2856,0.09,4.031,0.017,0.073,237.1176471
Dry,2943,0.08,3.019,0.012,0.068,251.5833333
Dry,2505,0.18,7.594,0.043,0.137,176.6046512
