Treatment,ID,Diameter,Height,Nodes,Flowers,Branches,Sec_flower,,,,,,,,,
Dry,2000,2.5,17,12,7,2,0,,,,,,,,,
Wet,2000,4.92,45.8,18,12,2,0,,,,,,,,,
Dry,2003,2,11,10,5,0,0,,,,,,,,,
Wet,2003,4.27,34.4,15,9,4,0,,,,,,,,,
Dry,2006,4.51,33.4,18,11,8,0,,,,,,,,,
Wet,2006,4.63,22.3,15,7,5,1,,,,,,,,,
Dry,2009,2.29,21.1,13,7,6,2,,,,,,,,,
Wet,2009,3.41,31.8,16,8,0,0,,,,,,,,,
Dry,2012,3.61,23.2,16,7,6,1,,,,,,,,,
Wet,2012,2.96,19,14,5,0,0,,,,,,,,,
Dry,2015,3.66,23.8,13,7,4,0,,,,,,,,,
Wet,2015,3.3,22.8,14,5,0,0,,,,,,,,,
Dry,2018,3.09,17.4,12,8,6,2,,,,,,,,,
Wet,2018,3.04,51.2,17,10,3,0,,,,,,,,,
Dry,2021,2.2,21.5,13,5,0,0,,,,,,,,,
Wet,2021,3.98,41.7,15,10,0,0,,,,,,,,,
Dry,2024,,,,,,,,,,,,,,,
Wet,2024,2.85,32,16,4,0,0,,,,,,,,,
Dry,2027,2.65,23.3,13,8,2,0,,,,,,,,,
Wet,2027,4.14,44.7,14,10,0,0,,,,,,,,,
Dry,2030,2.63,16.5,13,5,0,0,,,,,,,,,
Wet,2030,2.89,25.2,14,5,0,0,,,,,,,,,
Dry,2033,3.92,20.03,17,9,11,7,,,,,,,,,
Wet,2033,3.32,45,16,11,1,1,,,,,,,,,
Dry,2036,4.07,34.6,18,9,9,2,,,,,,,,,
Wet,2036,4.39,29.8,14,9,3,0,,,,,,,,,
Dry,2039,3.85,51.5,18,12,4,1,,,,,,,,,
Wet,2039,4.59,54.1,18,12,8,0,,,,,,,,,
Dry,2042,3.93,36,16,9,1,0,,,,,,,,,
Wet,2042,8.1,77.1,21,16,12,0,,,,,,,,,
Dry,2045,5.4,32,18,10,7,3,,,,,,,,,
Wet,2045,5.07,32.6,18,7,0,0,,,,,,,,,
Dry,2048,3.91,24.3,15,9,1,0,,,,,,,,,
Wet,2048,5.3,47.5,17,10,0,0,,,,,,,,,
Dry,2051,2.14,14.1,13,5,0,0,,,,,,,,,
Wet,2051,4.84,44,18,12,0,0,,,,,,,,,
Dry,2054,5.21,26.4,18,9,8,0,,,,,,,,,
Wet,2054,6.46,45,18,8,14,5,,,,,,,,,
