Treatment,ID,Diameter,Height,nodes,flowers,branches,2flowers,,,,,,,,,
Dry,2970,0.08,3.043,1.46,0,,0,,,,,,,,,
Dry,2130,2.38,7,10,2,2,0,,,,,,,,,
Dry,2325,2.15,8.9,8,2,0,0,,,,,,,,,
Dry,2139,1.77,9.2,11,2,0,0,,,,,,,,,
Dry,2823,1.9,9.9,9,3,4,0,,,,,,,,,
Dry,2022,4.15,10.1,8,0,6,20,,,,,,,,,
Dry,2337,1.84,10.6,9,3,1,0,,,,,,,,,
Dry,2922,2.08,10.9,8,4,2,0,,,,,,,,,
Dry,2733,2.35,10.9,9,2,0,0,,,,,,,,,
Wet,2907,2.15,11,9,5,3,0,,,,,,,,,
Dry,3024,2.9,11.2,9,4,2,0,,,,,,,,,
Wet,2124,2.27,11.4,11,2,0,0,,,,,,,,,
Dry,2754,1.82,11.7,8,2,0,0,,,,,,,,,
Wet,2619,1.72,12.2,10,1,0,0,,,,,,,,,
Dry,2742,2.99,12.5,9,3,1,0,,,,,,,,,
Wet,2130,4.02,12.6,11,2,4,0,,,,,,,,,
Wet,2739,2.29,12.7,10,3,1,0,,,,,,,,,
Dry,3057,2.72,12.9,11,4,2,0,,,,,,,,,
Dry,3105,1.34,13.4,11,2,0,0,,,,,,,,,
Dry,2583,3.3,13.5,12,3,11,9,,,,,,,,,
Dry,2910,2.37,13.6,10,4,4,0,,,,,,,,,
Dry,2376,3.44,14,11,4,1,0,,,,,,,,,
Dry,2469,check 4.1429.6,14,4,16,12,0,,,,,,,,,
Dry,2478,1.93,14.2,11,4,0,0,,,,,,,,,
Dry,2619,2.42,14.3,10,2,1,0,,,,,,,,,
Dry,2232,2.96,14.7,13,4,0,0,,,,,,,,,
Dry,2136,2.84,14.9,13,5,1,0,,,,,,,,,
Dry,2088,2.91,15.1,14,5,2,0,,,,,,,,,
Dry,2163,2.78,15.2,11,4,1,0,,,,,,,,,
Dry,2628,1.99,15.3,10,2,0,0,,,,,,,,,
Dry,2187,2.66,15.5,11,6,0,0,,,,,,,,,
Dry,2355,2.91,15.5,12,3,2,0,,,,,,,,,
Dry,2124,3.09,15.6,12,4,0,0,,,,,,,,,
Dry,2643,2.25,15.9,11,3,0,0,,,,,,,,,
Dry,2751,1.84,16,10,2,0,0,,,,,,,,,
Dry,2631,2.19,16,11,2,1,0,,,,,,,,,
Wet,2325,2.72,16.2,10,3,0,0,,,,,,,,,
Wet,2931,2.85,16.2,10,4,6,0,,,,,,,,,
Wet,2751,2.32,16.3,9,2,1,0,,,,,,,,,
Dry,2226,3.06,16.3,11,3,1,0,,,,,,,,,
Dry,3126,3.11,16.3,12,4,7,0,,,,,,,,,
Wet,2133,2.97,16.4,13,5,2,0,,,,,,,,,
Dry,2739,2.35,16.6,10,5,2,0,,,,,,,,,
Wet,2079,2.79,16.7,13,4,0,0,,,,,,,,,
Dry,2340,2.47,17,11,4,0,0,,,,,,,,,
Dry ,2802,7.81,17.2,10,4,4,0,,,,,,,,,
Dry,2931,2.61,17.3,8,5,6,0,,,,,,,,,
Wet,3078,3.61,17.5,11,1,3,0,,,,,,,,,
Dry,3045,2.34,17.6,12,6,2,0,,,,,,,,,
Wet,2127,2.9,17.7,13,2,0,0,,,,,,,,,
Dry,2727,3.58,17.8,10,4,2,0,,,,,,,,,
Dry,3183,3.76,17.9,12,8,10,5,,,,,,,,,
Dry,2103,4.09,17.9,17,8,14,7,,,,,,,,,
Wet,2118,2.6,18.2,13,6,0,0,,,,,,,,,
Dry,2331,3.28,18.2,11,2,1,0,,,,,,,,,
Dry,3366,3.7,18.2,16,8,0,0,,,,,,,,,
Dry,2679,2.13,18.3,10,3,0,0,,,,,,,,,
Dry,2904,2.27,18.3,9,6,3,0,,,,,,,,,
Dry,3243,3.44,18.3,12,3,4,0,,,,,,,,,
Dry,2082,2.72,18.4,14,6,1,0,,,,,,,,,
Dry,2034,3.38,18.4,15,8,14,12,,,,,,,,,
Wet,2901,2.58,18.5,10,3,1,0,,,,,,,,,
Dry,2595,2.75,18.5,13,6,3,0,,,,,,,,,
Dry,2646,2.27,18.6,10,2,0,0,,,,,,,,,
Dry,3279,3.16,18.6,12,6,13,2,,,,,,,,,
Dry,2940,1.84,18.7,10,4,1,0,,,,,,,,,
Dry,2151,3.07,19,12,4,0,0,,,,,,,,,
Wet,2823,2.32,19.1,10,3,2,1,,,,,,,,,
Dry,2148,3.54,19.1,14,5,0,0,,,,,,,,,
Dry,2589,3.6,19.1,11,2,12,8,,,,,,,,,
Wet,3123,2.06,19.2,10,6,0,0,,,,,,,,,
Dry,3072,2.17,19.2,10,3,3,0,,,,,,,,,
Dry,3153,2.2,19.3,10,4,4,0,,,,,,,,,
Dry,3228,3.02,19.3,11,4,1,0,,,,,,,,,
Dry,3312,3.53,19.3,12,5,2,0,,,,,,,,,
Dry,3195,2.32,19.4,12,2,9,0,,,,,,,,,
Dry,2661,1.93,19.5,10,4,1,0,,,,,,,,,
Wet,2724,2.67,19.8,11,4,0,0,,,,,,,,,
Dry,2907,2.67,19.8,12,9,9,0,,,,,,,,,
Dry,2220,2.85,19.8,13,4,0,0,,,,,,,,,
Dry,3144,2.19,20,11,4,2,0,,,,,,,,,
Dry,2916,2.55,20,10,7,8,0,,,,,,,,,
Wet,2736,2.41,20.1,13,3,0,0,,,,,,,,,
Wet,3210,2.99,20.1,18,8,0,0,,,,,,,,,
Wet,2922,2.69,20.2,10,5,5,0,,,,,,,,,
Dry,2532,3.75,20.2,10,2,12,0,,,,,,,,,
Dry,2709,2.72,20.3,11,6,2,0,,,,,,,,,
Dry,3048,2.4,20.4,11,6,6,0,,,,,,,,,
Dry,2157,3.3,20.4,11,2,0,0,,,,,,,,,
Dry,3036,2.85,20.5,10,6,3,0,,,,,,,,,
Dry,3216,3.17,20.5,16,10,12,14,,,,,,,,,
Wet,2163,3.01,20.6,16,5,0,0,,,,,,,,,
Dry,2142,1.83,20.8,11,7,1,0,,,,,,,,,
Dry,2817,2.55,20.8,11,7,11,0,,,,,,,,,
Dry,2586,2.64,20.8,12,5,12,6,,,,,,,,,
Dry,2118,2.79,21,14,7,8,2,,,,,,,,,
Dry,3255,2.86,21,10,4,1,0,,,,,,,,,
Dry,3192,2.25,21.1,13,6,1,0,,,,,,,,,
Dry,2634,2.59,21.1,14,5,0,0,,,,,,,,,
Wet,2142,3.2,21.1,11,6,1,0,,,,,,,,,
Wet,2799,2.36,21.2,11,6,4,0,,,,,,,,,
Dry,2622,3.02,21.2,13,4,0,0,,,,,,,,,
Dry,3285,3.54,21.3,13,5,12,4,,,,,,,,,
Wet,2928,2.99,21.4,10,7,2,0,,,,,,,,,
Dry,2676,2.2,21.5,11,3,0,0,,,,,,,,,
Wet,3033,2.4,21.5,11,7,7,0,,,,,,,,,
Wet,3015,2.92,21.5,12,6,6,0,,,,,,,,,
Dry,3108,3.26,21.5,16,6,0,0,,,,,,,,,
Dry,2328,3.27,21.5,13,2,11,2,,,,,,,,,
Wet,3192,2.84,21.6,11,4,2,0,,,,,,,,,
Dry,2607,4.04,21.6,13,6,7,1,,,,,,,,,
Dry,2616,2.36,21.7,11,4,0,0,,,,,,,,,
Dry,3015,2.42,21.7,10,5,2,0,,,,,,,,,
Dry,2160,3.49,21.7,13,4,0,0,,,,,,,,,
Wet,3195,2.76,21.8,12,6,3,0,,,,,,,,,
Dry,2934,2.95,21.8,12,8,8,0,,,,,,,,,
Dry,3411,4.22,21.8,13,7,8,1,,,,,,,,,
Dry,3174,2.47,21.9,11,4,5,0,,,,,,,,,
Dry,3009,2.74,22,11,11,8,0,,,,,,,,,
Dry,2766,2.98,22,13,3,2,0,,,,,,,,,
Dry,2592,2.87,22.1,14,4,7,0,,,,,,,,,
Dry,3180,2.56,22.2,12,5,9,0,,,,,,,,,
Dry,3297,3.94,22.2,12,4,2,0,,,,,,,,,
Dry,3039,2.43,22.4,11,9,1,0,,,,,,,,,
Dry,2691,2.84,22.4,12,8,4,0,,,,,,,,,
Dry,3111,3.05,22.4,14,5,5,0,,,,,,,,,
Wet,3438,3.36,22.4,10,2,0,0,,,,,,,,,
Wet,3021,2.73,22.5,12,5,1,0,,,,,,,,,
Dry,2076,3.95,22.5,14,4,5,4,,,,,,,,,
Dry,2991,2.21,22.6,11,6,4,0,,,,,,,,,
Wet,3153,3.36,22.6,12,4,11,3,,,,,,,,,
Dry,2100,3.57,22.6,15,7,8,5,,,,,,,,,
Wet,2157,4.76,22.6,12,3,0,0,,,,,,,,,
Dry,2010,4.54,22.7,17,11,18,11,,,,,,,,,
Dry,2640,2.45,22.8,13,5,3,0,,,,,,,,,
Dry,2175,3.5,22.8,14,6,9,0,,,,,,,,,
Wet,3168,3.43,22.9,14,5,10,0,,,,,,,,,
Dry,2943,2.8,23,11,8,0,0,,,,,36,13,8,2,0
Dry,3012,2.94,23,10,6,2,0,,,,,,,,,
Dry,3240,3.21,23,12,3,13,0,,,,,,,,,
Wet,2109,4.05,23,13,5,0,0,,,,,,,,,
Dry,2364,3.67,23.1,10,4,5,0,,,,,,,,,
