Treatment,ID,Tray,Placement,Flowering_date,avg_germ,FT,Sow_date,FD,days_to_germ
Dry,2000,9,18,Oct-25,Aug-23,63,Aug-15,71,8
Dry,2003,8,17,Oct-31,Aug-22,70,Aug-15,77,7.5
Dry,2006,1,14,Oct-24,Aug-22,63,Aug-15,70,7.333333333
Dry,2009,7,4,Oct-29,Aug-23,67,Aug-15,75,8.666666667
Dry,2012,4,12,Oct-24,Aug-22,63,Aug-15,70,7.666666667
Dry,2015,27,6,Oct-23,Aug-22,62,Aug-15,69,7.666666667
Dry,2018,9,11,Oct-23,Aug-23,61,Aug-15,69,8
Dry,2021,8,9,Oct-28,Aug-22,67,Aug-15,74,7.666666667
Dry,2024,3,17,Jan-3,Aug-23,133,Aug-15,141,8
Dry,2027,22,5,Oct-24,Aug-23,62,Aug-15,70,8.333333333
Dry,2030,13,11,Oct-29,Aug-22,68,Aug-15,75,7.666666667
Dry,2033,14,7,Oct-27,Aug-23,65,Aug-15,73,8
Dry,2036,7,17,Oct-29,Aug-24,66,Aug-15,75,9.333333333
Dry,2039,16,8,Oct-28,Aug-22,67,Aug-15,74,7
Dry,2042,6,16,Oct-29,Aug-23,67,Aug-15,75,8
Dry,2045,20,11,Oct-26,Aug-23,64,Aug-15,72,8
Dry,2048,24,4,Oct-26,Aug-24,63,Aug-15,72,9.333333333
Dry,2051,7,5,Oct-30,Aug-22,69,Aug-15,76,7.333333333
Dry,2054,8,1,Oct-28,Aug-23,66,Aug-15,74,8
Dry,2057,19,1,Oct-30,Aug-23,68,Aug-15,76,8
Dry,2060,7,3,Oct-30,Aug-26,65,Aug-15,76,11.33333333
Dry,2063,25,2,Oct-30,Aug-23,68,Aug-15,76,8.333333333
Dry,2066,5,18,Oct-30,Aug-26,65,Aug-15,76,11.33333333
Dry,2069,17,11,Oct-29,Aug-25,65,Aug-15,75,10.33333333
Dry,2072,9,7,,#DIV/0!,#DIV/0!,Aug-15,May-15,#DIV/0!
Dry,2075,11,17,Oct-25,Aug-24,62,Aug-15,71,9.666666667
Dry,2078,17,17,Oct-28,Aug-24,65,Aug-15,74,9
Dry,2081,9,1,Oct-27,Aug-23,65,Aug-15,73,8.666666667
Dry,2084,4,15,Oct-26,Aug-23,64,Aug-15,72,8.666666667
Dry,2087,1,10,Nov-5,Aug-23,74,Aug-15,82,8
Dry,2090,11,2,Oct-20,Aug-22,59,Aug-15,66,7
Dry,2093,24,2,Nov-2,Aug-23,71,Aug-15,79,8
Dry,2096,22,15,Oct-28,Aug-22,67,Aug-15,74,7.333333333
Dry,2099,13,12,Oct-30,Aug-23,68,Aug-15,76,8.333333333
Dry,2102,26,17,Oct-28,Aug-22,67,Aug-15,74,7.666666667
Dry,2105,16,4,Oct-30,Aug-23,68,Aug-15,76,8.333333333
Dry,2108,8,18,Oct-28,Aug-22,67,Aug-15,74,7.333333333
Dry,2111,7,7,Oct-20,Aug-22,59,Aug-15,66,7
Dry,2114,10,13,,#DIV/0!,#DIV/0!,Aug-15,May-15,#DIV/0!
Dry,2117,14,11,Oct-23,Aug-22,62,Aug-15,69,7.666666667
Dry,2120,20,4,Oct-17,Aug-22,56,Aug-15,63,7.666666667
Dry,2123,14,17,Oct-19,Aug-22,58,Aug-15,65,7
Dry,2126,14,9,Oct-25,Aug-22,64,Aug-15,71,7.333333333
Dry,2129,2,8,Oct-27,Aug-22,66,Aug-15,73,7.333333333
Dry,2132,16,5,Oct-28,Aug-23,66,Aug-15,74,8
Dry,2135,19,5,Oct-26,Aug-22,65,Aug-15,72,7.666666667
Dry,2138,3,9,Oct-26,Aug-23,64,Aug-15,72,8
Dry,2141,20,1,Oct-22,Aug-22,61,Aug-15,68,7.333333333
Dry,2144,22,10,Oct-30,Aug-23,68,Aug-15,76,8
Dry,2147,14,14,Oct-30,Aug-22,69,Aug-15,76,7
Dry,2150,1,5,Oct-31,Aug-23,69,Aug-15,77,8
Dry,2153,16,17,,Aug-22,May-8,Aug-15,May-15,7.666666667
Dry,2156,6,14,Oct-27,Aug-22,66,Aug-15,73,7.333333333
