Treatment,ID,ww,dw,Rep
Dry,3144,3.44,0.75,2
Dry,2370,9.83,2.15,2
Dry,3066,5.25,0.8,2
Dry,3141,4.3,0.79,2
Dry,2928,5.09,1.63,2
Dry,2157,2.71,0.43,2
Dry,2520,5.25,1.23,2
Dry,3243,5.78,1.93,2
Dry,3003,6.09,1.25,2
Dry,2994,6.63,0.99,2
Dry,3426,3.34,0.57,2
Dry,2859,,,2
Dry,2919,1.54,0.41,2
Dry,2601,5.7,1.26,2
Dry,2208,,,2
Dry,3114,8.13,1.83,2
Dry,2061,,7,2
Dry,2727,3.61,0.51,2
Dry,2289,6.72,1.16,2
Dry,2808,7.11,1.61,2
Dry,3030,,,2
Dry,2688,5.48,0.82,2
Dry,2115,,,2
Dry,2328,9.5,3.19,2
Dry,2343,,,2
Dry,3345,4.09,0.61,2
Dry,3438,7.19,1.52,2
Dry,2526,6.34,0.86,2
Dry,3069,5.23,1.06,2
Dry,2613,,,2
Dry,2346,,,2
Dry,3072,3.97,0.55,2
Dry,2514,8.88,1.99,2
Dry,3150,3.32,0.74,2
Dry,2166,,,2
Dry,2592,5.9,0.84,2
Dry,3222,,,2
Dry,3234,3.6,0.5,2
Dry,2049,8.25,2.07,2
Dry,3036,5.81,1.15,2
Dry,2781,3.38,0.7,2
Dry,3213,3.62,0.55,2
Dry,2070,13.3,2.76,2
Dry,2295,8.36,1.77,2
Dry,2706,5.73,1.43,2
Dry,3261,4.06,0.59,2
Dry,3405,5.6,0.85,2
Dry,3201,8,1.41,2
Dry,3063,7.06,0.98,2
Dry,2508,7.14,1.55,2
Dry,3090,,,2
Dry,3291,6.89,1.17,2
Dry,3240,4.68,0.72,2
Dry,2376,9.05,1.85,2
Dry,2337,3.47,0.67,2
Dry,2958,3.47,0.75,2
Dry,3231,3.76,empty,2
Dry,2883,5.15,1.21,2
Dry,3075,4.56,0.86,2
Dry,3294,5.47,1.01,2
Dry,3123,3.61,0.75,2
Dry,3390,4.01,0.68,2
Dry,2886,8.4,2.07,2
Dry,2247,,,2
Dry,3060,,,2
Dry,2205,,,2
Dry,2403,5.86,1,2
Dry,2322,6.94,1.63,2
Dry,2373,8.79,2.2,2
Dry,2082,3.5,0.78,2
Dry,2451,,,2
Dry,2967,4.43,0.94,2
Dry,2577,6.43,1.08,2
Dry,2970,4.07,0.67,2
Dry,3333,6.82,1.6,2
Dry,3339,6.56,1.55,2
Dry,2385,8.46,1.22,2
Dry,2136,3.58,0.5,2
Dry,2292,7.87,1.39,2
Dry,2151,6.11,,2
Dry,2223,5.34,0.74,2
Dry,2769,5.93,1.79,2
Dry,2580,4.23,0.75,2
Dry,3015,3.78,0.71,2
Dry,2982,6.12,1.03,2
Dry,2298,9.29,2.01,2
Dry,2271,4.32,0.75,2
Dry,3312,7.81,1.37,2
Dry,2013,5.57,1.23,2
Dry,2004,7.63,1.53,2
Dry,3027,7.95,1.73,2
Dry,3195,6.86,0.83,2
Dry,3093,,,2
Dry,2178,,,2
Dry,2016,4.54,0.86,2
Dry,2379,10.58,3.29,2
Dry,3102,4.6,1.05,2
Dry,2718,5.27,0.96,2
Dry,2946,5.76,1.29,2
Dry,3183,6.27,1.12,2
Dry,2658,,,2
Dry,2226,3.75,0.49,2
Dry,2922,4.13,0.97,2
Dry,2973,7,1.61,2
Dry,2877,4.07,0.84,2
Dry,3006,4.43,1.26,2
Dry,2754,1.79,0.22,2
Dry,2331,4.2,0.86,2
Dry,2124,4.39,0.67,2
Dry,2937,4.38,1.05,2
Dry,2556,5.41,1.48,2
Dry,3309,7.71,1.2,2
Dry,2772,,,2
Dry,2412,9.66,1.44,2
Dry,2133,3.9,0.61,2
Dry,2661,2.19,0.46,2
Dry,3204,7.22,2.1,2
Dry,3366,6.37,1.17,2
Dry,2448,11.4,3.08,2
Dry,2751,3.06,0.47,2
Dry,2961,8.7,2.66,2
Dry,2793,1.89,0.37,2
Dry,3099,,,2
Dry,2187,,,2
Dry,2010,8.85,2.33,2
Dry,2766,5.22,0.92,2
Dry,3168,3.68,1.03,2
Dry,2127,5.4,1.05,2
Dry,3237,5.42,1.11,2
Dry,2181,5.86,1.27,2
Dry,2649,3.55,0.62,2
Dry,2418,6.6,2.6,2
Dry,3219,,,2
Dry,2559,4.78,0.86,2
Dry,3267,5.15,0.9,2
Dry,2541,4.86,0.78,2
Dry,2085,,,2
Dry,2466,4.64,0.75,2
Dry,3258,6.21,1.39,2
Dry,2235,5.97,1.2,2
Dry,3180,4.43,0.89,2
Dry,3024,2.95,0.69,2
Dry,3096,,,2
Dry,2007,8.09,1.43,2
Dry,2316,8.44,1.68,2
Dry,2046,6.78,1.09,2
Dry,3276,3.78,0.73,2
Dry,2829,,,2
Dry,2217,,,2
Dry,2460,7.62,1.49,2
Dry,2313,7.73,1.61,2
Dry,2364,7.46,1.77,2
Dry,2028,2.65,0.39,2
Dry,2898,3.97,0.75,2
Dry,2901,3.36,0.63,2
Dry,3372,5.11,1.53,2
Dry,2775,,,2
Dry,2598,2.62,0.31,2
Dry,2256,5.66,1.15,2
Dry,3348,,,2
Dry,3255,1.74,0.28,2
Dry,2691,1.94,0.41,2
Dry,2487,9.31,2.38,2
Dry,2034,8.19,2.4,2
Dry,2202,,,2
Dry,2469,5.54,1.28,2
Dry,2277,7.75,2.27,2
Dry,3051,1.73,0.43,2
Dry,2055,10.01,2.16,2
Dry,2568,3.77,0.5,2
Dry,2925,,,2
Dry,2676,2.85,0.47,2
Dry,2439,,,2
Dry,2733,,,2
Dry,2871,4.69,1.06,2
Dry,3210,4.61,0.82,2
Dry,2823,2.43,0.28,2
Dry,3279,6.34,0.96,2
Dry,2799,1.63,0.32,2
Dry,2748,,,2
Dry,3225,3.34,0.65,2
Dry,2031,,,2
Dry,2139,2.46,0.47,2
Dry,2679,,,2
Dry,2160,4.23,0.85,2
Dry,2934,5.78,1.49,2
Dry,2844,3.28,0.61,2
Dry,3393,7.44,1.36,2
Dry,2700,6.45,1.1,2
Dry,2280,7.2,1.24,2
Dry,3147,3.55,0.73,2
Dry,2916,3.51,0.85,2
Dry,2088,3.43,0.66,2
Dry,2832,2.47,0.4,2
Dry,2817,6.3,1.57,2
Dry,2583,5.55,0.98,2
Dry,2478,1.9,0.32,2
Dry,2703,4.95,0.75,2
Dry,2244,,,2
Dry,2025,,,2
Dry,2121,4.98,0.62,2
Dry,3057,3.78,0.58,2
Dry,2940,2.81,0.48,2
Dry,2667,5.28,0.87,2
Dry,2790,9.4,2.75,2
Dry,2424,5.91,1.03,2
Dry,3423,3.48,0.84,2
Dry,3081,6.08,1.06,2
Dry,2409,9.73,1.89,2
Dry,2058,4.7,0.69,2
Dry,2100,3.46,0.64,2
Dry,3318,6.76,1.44,2
Dry,3369,3.37,0.5,2
Dry,2664,,,2
Dry,2040,9.28,1.8,2
Dry,3399,8.29,1.41,2
Dry,3354,7.22,1.38,2
Dry,2904,3.21,0.62,2
Dry,2523,7.28,2.07,2
Dry,2301,10.91,3.41,2
Dry,2019,,,2
Dry,2079,4.75,0.83,2
Dry,3420,,,2
Dry,2550,5.7,1.03,2
Dry,2538,5.6,0.69,2
Dry,3129,,,2
Dry,2826,5.65,1.33,2
Dry,3033,3.07,0.58,2
Dry,3087,,,2
Dry,2610,3.59,0.77,2
Dry,3351,,,2
Dry,3384,5.22,0.87,2
Dry,2589,6.8,1.16,2
Dry,2838,3.73,0.54,2
Dry,2148,2.75,0.39,2
Dry,2745,,,2
Dry,2037,5.77,1.45,2
Dry,2997,5.72,1.18,2
Dry,2511,5.39,0.87,2
Dry,2889,4.71,0.84,2
Dry,2130,3.88,0.77,2
Dry,2616,3.53,0.63,2
Dry,3012,4.44,0.77,2
Dry,2175,7.73,1.41,2
Dry,2358,5.3,1,2
Dry,2820,4.48,0.77,2
Dry,2985,8.72,2.41,2
Dry,2895,,,2
Dry,2436,5.52,1.14,2
Dry,2304,5.46,1.04,2
Dry,3381,5.67,0.84,2
Dry,2856,5.59,1.35,2
Dry,2943,2.87,0.56,2
Dry,2505,6.37,1.37,2
Dry,2865,7.61,1.96,2
Dry,3108,5.79,1.51,2
Dry,2391,17.04,5.16,2
Dry,2913,3.44,0.78,2
Dry,2112,3.09,0.59,2
Dry,2052,10.87,3.11,2
Dry,2517,6.93,1.25,2
Dry,2673,3.61,0.83,2
Dry,2685,,,2
Dry,3360,5.42,0.92,2
Dry,2796,9.23,3.21,2
Dry,3396,5.75,1.44,2
Dry,2868,4.82,0.72,2
Dry,2949,5.36,0.87,2
Dry,3132,4.19,1.14,2
Dry,2319,5.01,0.94,2
Dry,3009,3.75,1.07,2
Dry,2427,5.47,1.1,2
Dry,3321,,0.96,2
Dry,2172,,,2
Dry,3177,,,2
Dry,3327,3.93,0.84,2
Dry,2910,,,2
Dry,2988,3.66,0.67,2
Dry,2850,4.82,0.69,2
Dry,2241,,,2
Dry,2595,4.75,0.79,2
Dry,3432,7.05,1.27,2
Dry,3408,5.01,1.03,2
Dry,2382,9.61,1.87,2
Dry,3411,7.11,1.36,2
Dry,2565,2.89,0.49,2
Dry,3189,6.73,1.41,2
Dry,3135,4.64,0.96,2
Dry,3429,5.49,1,2
Dry,2763,3.72,0.88,2
Dry,2475,4.35,0.73,2
Dry,2721,,,2
Dry,2811,3.71,0.6,2
Dry,2814,3.01,0.49,2
Dry,2979,6.51,1.81,2
Dry,2562,4.09,0.77,2
Dry,2529,9.36,2.31,2
Dry,3039,4.79,1.08,2
Dry,2874,6.21,1.4,2
Dry,3303,5.1,0.73,2
Dry,3357,5.09,1.04,2
Dry,2457,9.73,2.27,2
Dry,2253,6.52,1.41,2
Dry,2670,3.42,0.59,2
Dry,2094,9.91,2.62,2
Dry,2274,,,2
Dry,2307,5.4,1.26,2
Dry,3159,5.76,1.17,2
Dry,2400,,,2
Dry,2739,5.31,0.96,2
Dry,3402,6.75,1.49,2
Dry,2211,,,2
Dry,2544,6.75,1.89,2
Dry,2787,,,2
Dry,3186,1.87,0.18,2
Dry,3084,,,2
Dry,3306,7.91,1.43,2
Dry,2163,4.01,0.7,2
Dry,2862,,,2
Dry,3297,7.84,1.53,2
Dry,3414,6.66,1.48,2
Dry,3375,9.13,1.49,2
Dry,2421,8.03,2.37,2
Dry,3435,7.62,2.06,2
Dry,3264,,,2
Dry,3117,2.68,0.25,2
Dry,2499,5.26,0.9,2
Dry,2493,4.12,0.7,2
Dry,2760,8.33,2.18,2
Dry,3048,6.43,1.35,2
Dry,3207,,,2
