Treatment,ID,dw,Rep
Dry,2000,0.75,1
Wet,2000,2.1,1
Dry,2003,0.37,1
Wet,2003,1.45,1
Dry,2006,1.75,1
Wet,2006,1.18,1
Dry,2009,1.11,1
Wet,2009,1.02,1
Dry,2012,0.95,1
Wet,2012,0.63,1
Dry,2015,1.15,1
Wet,2015,0.73,1
Dry,2018,0.97,1
Wet,2018,1.37,1
Dry,2021,0.66,1
Wet,2021,1.16,1
Dry,2024,0.35,1
Wet,2024,1.01,1
Dry,2027,0.74,1
Wet,2027,1.23,1
Dry,2030,0.55,1
Wet,2030,0.65,1
Dry,2033,1.93,1
Wet,2033,1.38,1
Dry,2036,1.44,1
Wet,2036,1.69,1
Dry,2039,2.5,1
Wet,2039,2.27,1
Dry,2042,1.68,1
Wet,2042,5.15,1
Dry,2045,1.79,1
Wet,2045,1.96,1
Dry,2048,1.1,1
Wet,2048,2.11,1
Dry,2051,0.5,1
Wet,2051,1.97,1
Dry,2054,1.7,1
Wet,2054,3.64,1
Dry,2057,0.64,1
Wet,2057,2.93,1
Dry,2060,0.65,1
Wet,2060,1.24,1
Dry,2063,1.56,1
Wet,2063,1.27,1
Dry,2066,1.24,1
Wet,2066,1.86,1
Dry,2069,1.19,1
Wet,2069,1.8,1
Dry,2072,,1
Wet,2072,,1
Dry,2075,1.82,1
Wet,2075,2.17,1
Dry,2078,1.53,1
Wet,2078,1.92,1
Dry,2081,1.71,1
Wet,2081,1.71,1
Dry,2084,1.28,1
Wet,2084,2.33,1
Dry,2087,0.49,1
Wet,2087,1.74,1
Dry,2090,1.35,1
Wet,2090,4.38,1
Dry,2093,1.16,1
Wet,2093,4.48,1
Dry,2096,2.69,1
Wet,2096,1.43,1
Dry,2099,1.59,1
Wet,2099,1.99,1
Dry,2102,0.48,1
Wet,2102,0.73,1
Dry,2105,1.53,1
Wet,2105,1.79,1
Dry,2108,1.74,1
Wet,2108,3.9,1
Dry,2111,2.21,1
Wet,2111,4.61,1
Dry,2114,,1
Wet,2114,,1
Dry,2117,2.5,1
Wet,2117,3.91,1
Dry,2120,2.79,1
Wet,2120,1.6,1
Dry,2123,2.46,1
Wet,2123,3.5,1
Dry,2126,2,1
Wet,2126,5.66,1
Dry,2129,2,1
Wet,2129,3.51,1
Dry,2132,3.58,1
Wet,2132,4.55,1
Dry,2135,2.45,1
Wet,2135,3.88,1
Dry,2138,2.69,1
Wet,2138,3.52,1
Dry,2141,1.64,1
Wet,2141,3.55,1
Dry,2144,1.16,1
Wet,2144,1.68,1
Dry,2147,3.65,1
Wet,2147,5.52,1
