Treatment,ID,ww,dw,,,
Dry,3144,2.5,0.48,,,
Dry,2370,17.85,3.2,,,
Dry,3066,4.06,0.52,,,
Dry,3141,4.8,0.62,,,
Dry,2928,8.14,1.28,,,
Dry,2157,1.71,0.2,,,
Dry,2520,8.28,1.27,,,
Dry,3243,3.44,0.49,,,
Dry,3003,6.67,1.1,,,
Dry,2994,6.28,1.05,,,
Dry,3426,6.39,1.13,,,
Dry,2859,,,,,
Dry,2919,,0.12,,,
Dry,2601,10.11,1.54,,,
Dry,2208,,,,,
Dry,3114,6.85,1.12,,,
Dry,2061,,,,,
Dry,2727,2.14,0.18,,,
Dry,2289,18.28,3.8,,,
Dry,2808,7.07,1.12,,,
Dry,3030,,,,,
Dry,2688,13.6,2.7,,,
Dry,2115,,,,,
Dry,2328,4.23,0.73,,,
Dry,2343,,,,,
Dry,3345,2.9,0.88,,,
Dry,3438,14.61,2.2,,,
Dry,2526,9.37,1.92,,,
Dry,3069,6.28,1.03,,,
Dry,2613,,,,,
Dry,2346,,,,,
Dry,3072,2.38,0.19,,,
Dry,2514,14.17,2.87,,,
Dry,3150,4.39,0.73,,,
Dry,2166,,,,,
Dry,2592,5.56,0.91,,,
Dry,3222,,,,,
Dry,3234,3.14,0.42,,,
Dry,2049,19.12,3.21,,,
Dry,3036,4.07,0.5,,,
Dry,2781,4.07,0.47,,,
Dry,3213,3.95,0.6,,,
Dry,2070,34.51,5.63,,,
Dry,2295,17.49,3.34,,,
Dry,2706,8.8,1.6,,,
Dry,3261,8,1.84,,,
Dry,3405,5.61,0.79,,,
Dry,3201,5.47,0.79,,,
Dry,3063,5.66,0.71,,,
Dry,2508,9.74,1.45,,,
Dry,3090,,,,,
Dry,3291,,,,,
Dry,3240,3.38,1.52,,,
Dry,2376,3.76,0.36,,,
Dry,2337,1.13,0.15,,,
Dry,2958,3.72,0.47,,,
Dry,3231,4.48,0.43,,,
Dry,2883,4.49,0.57,,,
Dry,3075,8.39,1.46,,,
Dry,3294,7.92,1.28,,,
Dry,3123,5.1,0.87,,,
Dry,3390,3.8,0.56,,,
Dry,2886,8.31,1.44,,,
Dry,2247,,,,,
Dry,3060,,,,,
Dry,2205,,,,,
Dry,2403,14.68,2.73,,,
Dry,2322,15.5,2.63,,,
Dry,2373,9.35,1.58,,,
Dry,2082,3.62,0.31,,,
Dry,2451,,,,,
Dry,2967,4.22,0.67,,,
Dry,2577,5.33,0.84,,,
Dry,2970,6.94,1.31,,,
Dry,3333,4.65,0.79,,,
Dry,3339,3.93,0.68,,,
Dry,2385,12.3,2.23,,,
Dry,2136,2.65,0.18,,,
Dry,2292,10.83,2.31,,,
Dry,2151,1.75,0.17,,,
Dry,2223,5.19,1.07,,,
Dry,2769,5.77,1.25,,,
Dry,2580,4.16,0.84,,,
Dry,3015,2.79,0.59,,,
Dry,2982,4.39,0.67,,,
Dry,2298,18.49,3.33,,,
Dry,2271,13.15,2.6,,,
Dry,3312,4.23,0.57,,,
Dry,2013,9.14,1.65,,,
Dry,2004,13,2.31,,,
Dry,3027,6.48,1.28,,,
Dry,3195,2.24,1.14,,,
Dry,3093,,,,,
Dry,2178,,,,,
Dry,2016,7.36,1.29,,,
Dry,2379,11.15,1.96,,,
Dry,3102,4.47,0.8,,,
Dry,2718,4.26,0.77,,,
Dry,2946,5.11,0.76,,,
Dry,3183,9.55,1.42,,,
Dry,2658,,,,,
Dry,2226,1.93,0.19,,,
Dry,2922,2.21,0.21,,,
Dry,2973,6.8,1.21,,,
Dry,2877,3.13,0.41,,,
Dry,3006,3.69,0.36,,,
Dry,2754,0.69,0.04,,,
Dry,2331,1.87,0.25,,,
Dry,2124,1.75,0.02,,,
Dry,2937,4.19,0.62,,,
Dry,2556,8.97,1.9,,,
Dry,3309,5.29,0.81,,,
Dry,2772,,,,,
Dry,2412,9.11,1.29,,,
Dry,2133,3.44,0.33,,,
Dry,2661,2.95,0.28,,,
Dry,3204,5.22,0.97,,,
Dry,3366,7.48,1.33,,,
Dry,2448,17.41,3.79,,,
Dry,2751,1,0.01,,,
Dry,2961,8.75,1.5,,,
Dry,2793,6.45,1.21,,,
Dry,3099,,,,,
Dry,2187,3.07,0.29,,,
Dry,2010,11.49,2.03,,,
Dry,2766,3.74,0.65,,,
Dry,3168,1.67,0.68,,,
Dry,2127,5.37,0.65,,,
Dry,3237,8.45,1.82,,,
Dry,2181,7.6,1.38,,,
Dry,2649,6.91,1.47,,,
Dry,2418,,,,,
Dry,3219,,,,,
Dry,2559,7.02,1.71,,,
Dry,3267,9.84,1.84,,,
Dry,2541,6.23,1.03,,,
Dry,2085,,,,,
Dry,2466,12.44,2.24,,,
Dry,3258,9.96,1.87,,,
Dry,2235,3.01,0.38,,,
Dry,3180,3.9,0.38,,,
Dry,3024,,,,,
Dry,3096,,,,,
Dry,2007,11.24,1.9,,,
Dry,2316,24.37,5.13,,,
Dry,2046,19.2,3.26,,,
Dry,3276,4.8,1.17,,,
Dry,2829,,,,,
Dry,2217,,,,,
Dry,2460,16.21,3.07,,,
Dry,2313,12.82,2.33,,,
Dry,2364,6.4,1.3,,,
Dry,2028,3.56,0.65,,,
Dry,2898,6.09,2.35,,,
Dry,2901,4.56,0.76,,,
Dry,3372,8.35,1.37,,,
Dry,2775,,,,,
Dry,2598,4.47,0.75,,,
Dry,2256,16.69,3.41,,,
Dry,3348,,,,,
Dry,3255,2.5,0.3,,,
