"","ID","Treatment","Tray","Placement","Flowering_date","avg_germ","FT","Sow_date","FD","days_to_germ","Rep","S0_ID","Name","Site","Year","Generation","Region","PrePeak","S1_ID","S0_trt","S1_trt","TRTHIS"
"1",2180,"Wet",15,16,"Nov-1","Aug-23","70","Aug-15","78","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1030,"W","D","WD"
"2",2180,"Dry",15,16,"Oct-31","Aug-23","69","Aug-15","77","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1030,"W","D","WD"
"3",2181,"Wet",8,4,"02-Feb","04-Nov","90","29-Oct","96","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1030,"W","D","WD"
"4",2181,"Dry",8,4,"22-Jan","04-Nov","79","29-Oct","85","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1030,"W","D","WD"
"5",2183,"Dry",3,2,"Oct-23","Aug-23","61","Aug-15","69","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1030,"W","W","WW"
"6",2183,"Wet",3,2,"Oct-30","Aug-23","68","Aug-15","76","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1030,"W","W","WW"
"7",2184,"Wet",26,10,"06-Mar","04-Nov","122","29-Oct","128","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1030,"W","W","WW"
"8",2184,"Dry",26,10,NA,"04-Nov","#VALUE!","29-Oct","#VALUE!","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1030,"W","W","WW"
"9",2186,"Dry",1,11,"Oct-30","Aug-23","68","Aug-15","76","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1031,"W","D","WD"
"10",2186,"Wet",1,11,"","Aug-23","May-7","Aug-15","May-15","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1031,"W","D","WD"
"11",2187,"Wet",7,16,"31-Jan","04-Nov","88","29-Oct","94","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1031,"W","D","WD"
"12",2187,"Dry",7,16,"22-Jan","04-Nov","79","29-Oct","85","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1031,"W","D","WD"
"13",2189,"Wet",7,11,"Nov-8","Aug-23","77","Aug-15","85","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1031,"W","W","WW"
"14",2189,"Dry",7,11,"Oct-28","Aug-23","66","Aug-15","74","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1031,"W","W","WW"
"15",2190,"Wet",24,16,"10-Feb","05-Nov","97","29-Oct","104","7","2","28","Sweetwater","S02",2014,"S0","South","Peak",1031,"W","W","WW"
"16",2190,"Dry",24,16,"06-Feb","05-Nov","93","29-Oct","100","7","2","28","Sweetwater","S02",2014,"S0","South","Peak",1031,"W","W","WW"
"17",2192,"Wet",20,3,"Oct-29","Aug-23","67","Aug-15","75","8.333333333","1","28","Sweetwater","S02",2014,"S0","South","Peak",1032,"W","D","WD"
"18",2192,"Dry",20,3,"Oct-27","Aug-23","65","Aug-15","73","8.333333333","1","28","Sweetwater","S02",2014,"S0","South","Peak",1032,"W","D","WD"
"19",2193,"Wet",25,12,"11-Apr","04-Nov","158","29-Oct","164","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1032,"W","D","WD"
"20",2193,"Dry",25,12,NA,"04-Nov","#VALUE!","29-Oct","#VALUE!","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1032,"W","D","WD"
"21",2195,"Wet",6,18,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","28","Sweetwater","S02",2014,"S0","South","Peak",1032,"W","W","WW"
"22",2195,"Dry",6,18,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","28","Sweetwater","S02",2014,"S0","South","Peak",1032,"W","W","WW"
"23",2196,"Dry",22,18,NA,"05-Nov","#VALUE!","29-Oct","#VALUE!","7.333333333","2","28","Sweetwater","S02",2014,"S0","South","Peak",1032,"W","W","WW"
"24",2196,"Wet",22,18,"28-Feb","05-Nov","114.6666667","29-Oct","122","7.333333333","2","28","Sweetwater","S02",2014,"S0","South","Peak",1032,"W","W","WW"
"25",2198,"Dry",10,9,"Oct-29","Aug-22","68","Aug-15","75","7","1","28","Sweetwater","S02",2014,"S0","South","Peak",1033,"D","D","DD"
"26",2198,"Wet",10,9,"Nov-12","Aug-22","82","Aug-15","89","7","1","28","Sweetwater","S02",2014,"S0","South","Peak",1033,"D","D","DD"
"27",2199,"Dry",25,3,"31-Jan","02-Nov","90","29-Oct","94","4.333333333","2","28","Sweetwater","S02",2014,"S0","South","Peak",1033,"D","D","DD"
"28",2199,"Wet",25,3,"26-Feb","02-Nov","115.6666667","29-Oct","120","4.333333333","2","28","Sweetwater","S02",2014,"S0","South","Peak",1033,"D","D","DD"
"29",2201,"Dry",23,4,"Oct-31","Aug-22","70","Aug-15","77","7.666666667","1","28","Sweetwater","S02",2014,"S0","South","Peak",1033,"D","W","DW"
"30",2201,"Wet",23,4,"Nov-3","Aug-22","73","Aug-15","80","7.666666667","1","28","Sweetwater","S02",2014,"S0","South","Peak",1033,"D","W","DW"
"31",2202,"Wet",10,3,"12-Feb","02-Nov","102","29-Oct","106","4","2","28","Sweetwater","S02",2014,"S0","South","Peak",1033,"D","W","DW"
"32",2202,"Dry",10,3,"30-Jan","02-Nov","89","29-Oct","93","4","2","28","Sweetwater","S02",2014,"S0","South","Peak",1033,"D","W","DW"
"33",2204,"Wet",10,18,"Jan-4","Aug-22","135","Aug-15","142","7.666666667","1","28","Sweetwater","S02",2014,"S0","South","Peak",1034,"D","D","DD"
"34",2204,"Dry",10,18,"Oct-25","Aug-22","64","Aug-15","71","7.666666667","1","28","Sweetwater","S02",2014,"S0","South","Peak",1034,"D","D","DD"
"35",2205,"Wet",4,12,"24-Feb","03-Nov","113","29-Oct","118","5.333333333","2","28","Sweetwater","S02",2014,"S0","South","Peak",1034,"D","D","DD"
"36",2205,"Dry",4,12,NA,"03-Nov","#VALUE!","29-Oct","#VALUE!","5.333333333","2","28","Sweetwater","S02",2014,"S0","South","Peak",1034,"D","D","DD"
"37",2207,"Wet",16,2,"Nov-11","Aug-23","80","Aug-15","88","8.333333333","1","28","Sweetwater","S02",2014,"S0","South","Peak",1034,"D","W","DW"
"38",2207,"Dry",16,2,"Nov-8","Aug-23","77","Aug-15","85","8.333333333","1","28","Sweetwater","S02",2014,"S0","South","Peak",1034,"D","W","DW"
"39",2208,"Dry",1,15,NA,"04-Nov","#VALUE!","29-Oct","#VALUE!","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1034,"D","W","DW"
"40",2208,"Wet",1,15,NA,"04-Nov","#VALUE!","29-Oct","#VALUE!","6","2","28","Sweetwater","S02",2014,"S0","South","Peak",1034,"D","W","DW"
"41",2210,"Dry",1,8,"Oct-27","Aug-23","65","Aug-15","73","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1035,"D","D","DD"
"42",2210,"Wet",1,8,"Oct-24","Aug-23","62","Aug-15","70","8","1","28","Sweetwater","S02",2014,"S0","South","Peak",1035,"D","D","DD"
"43",2211,"Wet",18,6,"15-Feb","03-Nov","104","29-Oct","109","5","2","28","Sweetwater","S02",2014,"S0","South","Peak",1035,"D","D","DD"
"44",2211,"Dry",18,6,NA,"03-Nov","#VALUE!","29-Oct","#VALUE!","5","2","28","Sweetwater","S02",2014,"S0","South","Peak",1035,"D","D","DD"
"45",2213,"Dry",3,13,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","28","Sweetwater","S02",2014,"S0","South","Peak",1035,"D","W","DW"
"46",2213,"Wet",3,13,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","28","Sweetwater","S02",2014,"S0","South","Peak",1035,"D","W","DW"
