"","ID","Treatment","Tray","Placement","Flowering_date","avg_germ","FT","Sow_date","FD","days_to_germ","Rep","S0_ID","Name","Site","Year","Generation","Region","PrePeak","S1_ID","S0_trt","S1_trt","TRTHIS"
"1",2000,"Dry",9,18,"Oct-25","Aug-23","63","Aug-15","71","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1000,"W","D","WD"
"2",2000,"Wet",9,18,"Oct-29","Aug-23","67","Aug-15","75","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1000,"W","D","WD"
"3",2001,"Dry",27,7,"12-Jan","06-Nov","67","29-Oct","75","8.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1000,"W","D","WD"
"4",2001,"Wet",27,7,"12-Jan","06-Nov","67","29-Oct","75","8.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1000,"W","D","WD"
"5",2003,"Dry",8,17,"Oct-31","Aug-22","70","Aug-15","77","7.5","1","1","Sweetwater","S02",2010,"S0","South","Pre",1000,"W","W","WW"
"6",2003,"Wet",8,17,"Oct-28","Aug-22","67","Aug-15","74","7.5","1","1","Sweetwater","S02",2010,"S0","South","Pre",1000,"W","W","WW"
"7",2004,"Dry",5,18,"12-Jan","04-Nov","69","29-Oct","75","6.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1000,"W","W","WW"
"8",2004,"Wet",5,18,"20-Jan","04-Nov","77","29-Oct","83","6.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1000,"W","W","WW"
"9",2006,"Wet",1,14,"Oct-29","Aug-22","68","Aug-15","75","7.333333333","1","1","Sweetwater","S02",2010,"S0","South","Pre",1001,"W","D","WD"
"10",2006,"Dry",1,14,"Oct-24","Aug-22","63","Aug-15","70","7.333333333","1","1","Sweetwater","S02",2010,"S0","South","Pre",1001,"W","D","WD"
"11",2007,"Dry",8,18,"13-Jan","03-Nov","71","29-Oct","76","5.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1001,"W","D","WD"
"12",2007,"Wet",8,18,"21-Jan","03-Nov","79","29-Oct","84","5.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1001,"W","D","WD"
"13",2009,"Wet",7,4,"Nov-3","Aug-23","72","Aug-15","80","8.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1001,"W","W","WW"
"14",2009,"Dry",7,4,"Oct-29","Aug-23","67","Aug-15","75","8.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1001,"W","W","WW"
"15",2010,"Wet",7,17,"18-Jan","04-Nov","75","29-Oct","81","6.5","2","1","Sweetwater","S02",2010,"S0","South","Pre",1001,"W","W","WW"
"16",2010,"Dry",7,17,"18-Jan","04-Nov","75","29-Oct","81","6.5","2","1","Sweetwater","S02",2010,"S0","South","Pre",1001,"W","W","WW"
"17",2012,"Dry",4,12,"Oct-24","Aug-22","63","Aug-15","70","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1002,"W","D","WD"
"18",2012,"Wet",4,12,"Nov-4","Aug-22","74","Aug-15","81","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1002,"W","D","WD"
"19",2013,"Dry",5,17,"10-Jan","04-Nov","67","29-Oct","73","6.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1002,"W","D","WD"
"20",2013,"Wet",5,17,"17-Jan","04-Nov","74","29-Oct","80","6.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1002,"W","D","WD"
"21",2015,"Dry",27,6,"Oct-23","Aug-22","62","Aug-15","69","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1002,"W","W","WW"
"22",2015,"Wet",27,6,"Nov-2","Aug-22","72","Aug-15","79","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1002,"W","W","WW"
"23",2016,"Dry",6,5,"07-Jan","04-Nov","64","29-Oct","70","6.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1002,"W","W","WW"
"24",2016,"Wet",6,5,"16-Jan","04-Nov","73","29-Oct","79","6.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1002,"W","W","WW"
"25",2018,"Wet",9,11,"Oct-29","Aug-23","67","Aug-15","75","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1003,"D","D","DD"
"26",2018,"Dry",9,11,"Oct-23","Aug-23","61","Aug-15","69","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1003,"D","D","DD"
"27",2019,"Wet",13,5,"16-Jan","03-Nov","74","29-Oct","79","5.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1003,"D","D","DD"
"28",2019,"Dry",13,5,NA,"03-Nov","#VALUE!","29-Oct","#VALUE!","5.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1003,"D","D","DD"
"29",2021,"Wet",8,9,"Oct-31","Aug-22","70","Aug-15","77","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1003,"D","W","DW"
"30",2021,"Dry",8,9,"Oct-28","Aug-22","67","Aug-15","74","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1003,"D","W","DW"
"31",2022,"Wet",20,15,"16-Jan","04-Nov","73","29-Oct","79","6.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1003,"D","W","DW"
"32",2022,"Dry",20,15,"13-Jan","04-Nov","70","29-Oct","76","6.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1003,"D","W","DW"
"33",2024,"Dry",3,17,"Jan-3","Aug-23","133","Aug-15","141","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","D","DD"
"34",2024,"Wet",3,17,"","Aug-23","May-7","Aug-15","May-15","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","D","DD"
"35",2025,"Dry",12,2,NA,"05-Nov","#VALUE!","29-Oct","#VALUE!","7","2","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","D","DD"
"36",2025,"Wet",12,2,"15-Jan","05-Nov","71","29-Oct","78","7","2","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","D","DD"
"37",2027,"Dry",22,5,"Oct-24","Aug-23","62","Aug-15","70","8.333333333","1","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","W","DW"
"38",2027,"Wet",22,5,"Oct-31","Aug-23","69","Aug-15","77","8.333333333","1","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","W","DW"
"39",2028,"Dry",9,9,"11-Jan","05-Nov","67","29-Oct","74","7.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","W","DW"
"40",2028,"Wet",9,9,"10-Jan","05-Nov","66","29-Oct","73","7.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","W","DW"
"41",2030,"Wet",13,11,"Nov-8","Aug-22","78","Aug-15","85","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","D","DD"
"42",2030,"Dry",13,11,"Oct-29","Aug-22","68","Aug-15","75","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","D","DD"
"43",2031,"Wet",11,2,"18-Jan","04-Nov","75","29-Oct","81","6.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","D","DD"
"44",2031,"Dry",11,2,NA,"04-Nov","#VALUE!","29-Oct","#VALUE!","6.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","D","DD"
"45",2033,"Wet",14,7,"Oct-31","Aug-23","69","Aug-15","77","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","W","DW"
"46",2033,"Dry",14,7,"Oct-27","Aug-23","65","Aug-15","73","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","W","DW"
"47",2034,"Wet",10,2,"14-Jan","04-Nov","71","29-Oct","77","6.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","W","DW"
"48",2034,"Dry",10,2,"13-Jan","04-Nov","70","29-Oct","76","6.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","W","DW"
"49",2036,"Wet",7,17,"Oct-31","Aug-24","68","Aug-15","77","9.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","D","WD"
"50",2036,"Dry",7,17,"Oct-29","Aug-24","66","Aug-15","75","9.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","D","WD"
"51",2037,"Dry",14,3,"10-Jan","07-Nov","64","29-Oct","73","9.333333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","D","WD"
"52",2037,"Wet",14,3,"17-Jan","07-Nov","71","29-Oct","80","9.333333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","D","WD"
"53",2039,"Dry",16,8,"Oct-28","Aug-22","67","Aug-15","74","7","1","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","W","WW"
"54",2039,"Wet",16,8,"Nov-3","Aug-22","73","Aug-15","80","7","1","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","W","WW"
"55",2040,"Wet",12,17,"23-Jan","04-Nov","80","29-Oct","86","6","2","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","W","WW"
"56",2040,"Dry",12,17,"14-Jan","04-Nov","71","29-Oct","77","6","2","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","W","WW"
"57",2042,"Dry",6,16,"Oct-29","Aug-23","67","Aug-15","75","8","1","3","Sweetwater","S02",2010,"S0","South","Pre",1007,"W","D","WD"
