REP,S0_ID,S1_ID,S0_Treatment,S1_treatment,Treatment,ID,Germination_date,Flowering_date,FT,Sow_date,Days_to_Flower
2,154,1139,W,D,D,2835,#DIV/0!,01-Jan,#DIV/0!,29-Oct,64
2,166,1161,D,D,D,2967,06-Nov,01-Jan,56,29-Oct,64
2,170,1173,D,W,D,3042,08-Nov,01-Jan,54,29-Oct,64
2,172,1178,D,D,W,3069,06-Nov,01-Jan,56,29-Oct,64
2,371,1211,W,D,D,3267,06-Nov,01-Jan,56,29-Oct,64
2,375,1239,D,D,D,3435,#DIV/0!,01-Jan,#DIV/0!,29-Oct,64
2,38,1060,W,D,D,2361,06-Nov,02-Jan,57,29-Oct,65
2,39A,1067,W,D,D,2403,#DIV/0!,02-Jan,#DIV/0!,29-Oct,65
2,39A,1071,D,D,D,2427,02-Nov,02-Jan,61,29-Oct,65
2,153,1132,W,W,D,2796,09-Nov,02-Jan,54,29-Oct,65
2,153,1134,W,D,D,2805,#DIV/0!,02-Jan,#DIV/0!,29-Oct,65
2,153,1134,W,W,W,2808,07-Nov,02-Jan,56,29-Oct,65
2,153,1135,D,D,D,2811,06-Nov,02-Jan,57,29-Oct,65
2,153,1136,D,D,W,2817,06-Nov,02-Jan,57,29-Oct,65
2,154,1140,W,W,D,2844,02-Nov,02-Jan,61,29-Oct,65
2,154,1142,D,D,D,2853,02-Nov,02-Jan,61,29-Oct,65
2,164,1155,D,W,D,2934,10-Nov,02-Jan,53,29-Oct,65
2,166,1161,D,D,W,2967,06-Nov,02-Jan,57,29-Oct,65
2,344,1197,D,D,D,3183,06-Nov,02-Jan,57,29-Oct,65
2,371,1210,W,D,D,3261,05-Nov,02-Jan,58,29-Oct,65
2,371,1211,W,W,D,3270,05-Nov,02-Jan,58,29-Oct,65
2,371,1211,W,W,W,3270,05-Nov,02-Jan,58,29-Oct,65
2,371,1214,D,D,D,3285,06-Nov, v,57,29-Oct,65
2,54,1108,W,D,D,2649,#DIV/0!,03-Jan,#DIV/0!,29-Oct,66
