Rep,ID,days_to_germ,S0_ID,S1_ID,S0_Treatment,S1_treatment
2,2001,8.666666667,1,1000,W,D
2,2004,7.5,1,1000,W,W
2,2007,7,1,1001,W,D
2,2010,07-Jan,1,1001,W,W
2,2013,8,1,1002,W,D
2,2016,06-Jan,1,1002,W,W
2,2019,#DIV/0!,1,1003,D,D
2,2022,7,1,1003,D,W
2,2025,7,1,1004,D,D
2,2028,7.333333333,1,1004,D,W
2,2031,7,1,1005,D,D
2,2034,06-Jan,1,1005,D,W
2,2037,9.333333333,3,1006,W,D
2,2040,7,3,1006,W,W
2,2043,7,3,1007,W,D
2,2046,7,3,1007,W,W
2,2049,10.33333333,3,1008,W,D
2,2052,7,3,1008,W,W
2,2055,8.666666667,3,1009,D,D
2,2058,7.5,3,1009,D,W
2,2061,14.33333333,3,1010,D,D
2,2064,7,3,1010,D,W
2,2067,10.33333333,3,1011,D,D
2,2070,9.666666667,3,1011,D,W
2,2073,#DIV/0!,4,1012,W,D
2,2076,20,4,1012,W,W
2,2079,7,4,1013,W,D
2,2082,4,4,1013,W,W
2,2085,9.333333333,4,1014,W,D
2,2088,5,4,1014,W,W
2,2091,#DIV/0!,4,1015,D,D
2,2094,6.333333333,4,1015,D,W
2,2097,#DIV/0!,4,1016,D,D
2,2100,13.33333333,4,1016,D,W
2,2103,7,4,1017,D,D
2,2106,#DIV/0!,4,1017,D,W
2,2109,4,6,1018,W,D
2,2112,8,6,1018,W,W
2,2115,#DIV/0!,6,1019,W,D
2,2118,#DIV/0!,6,1019,W,W
2,2121,7,6,1020,W,D
2,2124,4,6,1020,W,W
2,2127,4,6,1021,D,D
2,2130,4,6,1021,D,W
2,2133,7.5,6,1022,D,D
2,2136,8,6,1022,D,W
2,2139,#DIV/0!,6,1023,D,D
2,2142,7,6,1023,D,W
2,2145,#DIV/0!,7,1024,W,D
2,2148,7,7,1024,W,W
2,2151,#DIV/0!,7,1025,W,D
2,2154,8,7,1025,W,W
2,2157,4,7,1026,W,D
2,2160,4,7,1026,W,W
2,2163,4,7,1027,D,D
2,2166,3.666666667,7,1027,D,W
2,2169,4,7,1028,D,D
2,2172,3,7,1028,D,W
2,2175,4,7,1029,D,D
2,2178,3.5,7,1029,D,W
2,2181,6,28,1030,W,D
2,2184,7,28,1030,W,W
2,2187,8,28,1031,W,D
2,2190,8,28,1031,W,W
2,2193,#DIV/0!,28,1032,W,D
2,2196,8,28,1032,W,W
2,2199,4,28,1033,D,D
2,2202,4,28,1033,D,W
2,2205,#DIV/0!,28,1034,D,D
2,2208,6,28,1034,D,W
2,2211,#DIV/0!,28,1035,D,D
2,2214,7,28,1035,D,W
2,2217,8,29,1036,W,D
2,2220,10.5,29,1036,W,W
2,2223,8,29,1037,W,D
2,2226,7,29,1037,W,W
2,2229,#DIV/0!,29,1038,W,D
2,2232,8,29,1038,W,W
2,2235,7,29,1039,D,D
2,2238,7,29,1039,D,W
2,2241,#DIV/0!,29,1040,D,D
2,2244,7,29,1040,D,W
2,2247,5,29,1041,D,D
2,2250,6.333333333,29,1041,D,W
2,2253,#DIV/0!,32,1042,W,D
2,2256,#DIV/0!,32,1042,W,W
2,2259,#DIV/0!,32,1043,W,D
2,2262,#DIV/0!,32,1043,W,W
2,2265,#DIV/0!,32,1044,W,D
2,2268,4,32,1044,W,W
2,2271,2,32,1045,D,D
2,2274,#DIV/0!,32,1045,D,W
2,2277,#DIV/0!,32,1046,D,D
2,2280,3,32,1046,D,W
2,2283,#DIV/0!,32,1047,D,D
2,2286,4,32,1047,D,W
2,2289,4,35,1048,W,D
2,2292,#DIV/0!,35,1048,W,W
2,2295,#DIV/0!,35,1049,W,D
2,2298,#DIV/0!,35,1049,W,W
2,2301,4,35,1050,W,D
2,2304,7,35,1050,W,W
2,2307,7,35,1051,D,D
2,2310,7.666666667,35,1051,D,W
2,2313,9,35,1052,D,D
2,2316,7,35,1052,D,W
2,2319,#DIV/0!,35,1053,D,D
2,2322,7,35,1053,D,W
2,2325,7,37,1054,W,D
2,2328,8,37,1054,W,W
2,2331,7,37,1055,W,D
2,2334,7.5,37,1055,W,W
2,2337,7.5,37,1056,W,D
2,2340,6,37,1056,W,W
2,2343,7,37,1057,D,D
2,2346,6,37,1057,D,W
2,2349,6.333333333,37,1058,D,D
2,2352,7.5,37,1058,D,W
2,2355,#DIV/0!,37,1059,D,D
2,2358,10.33333333,37,1059,D,W
2,2361,8.333333333,38,1060,W,D
2,2364,8,38,1060,W,W
2,2367,8,38,1061,W,D
2,2370,7.333333333,38,1061,W,W
2,2373,#DIV/0!,38,1062,W,D
2,2376,11.33333333,38,1062,W,W
2,2379,#DIV/0!,38,1063,D,D
2,2382,6,38,1063,D,W
2,2385,#DIV/0!,38,1064,D,D
2,2388,8,38,1064,D,W
2,2391,7.5,38,1065,D,D
2,2394,17,38,1065,D,W
2,2397,#DIV/0!,39A,1066,W,D
2,2400,#DIV/0!,39A,1066,W,W
2,2403,#DIV/0!,39A,1067,W,D
2,2406,11,39A,1067,W,W
2,2409,7,39A,1068,W,D
2,2412,7,39A,1068,W,W
2,2415,4,39A,1069,D,D
2,2418,5.5,39A,1069,D,W
2,2421,4,39A,1070,D,D
2,2424,#DIV/0!,39A,1070,D,W
2,2427,4,39A,1071,D,D
2,2430,7,39A,1071,D,W
2,2433,#DIV/0!,39B,1072,W,D
2,2436,8,39B,1072,W,W
2,2439,#DIV/0!,39B,1073,W,D
2,2442,8,39B,1073,W,W
2,2445,4,39B,1074,W,D
2,2448,7.5,39B,1074,W,W
2,2451,#DIV/0!,39B,1075,D,D
2,2454,7,39B,1075,D,W
2,2457,7,39B,1076,D,D
2,2460,8.666666667,39B,1076,D,W
2,2463,7,39B,1077,D,D
2,2466,10.66666667,39B,1077,D,W
2,2469,#DIV/0!,40,1078,W,D
2,2472,7,40,1078,W,W
2,2475,#DIV/0!,40,1079,W,D
2,2478,8,40,1079,W,W
2,2481,#DIV/0!,40,1080,W,D
2,2484,8,40,1080,W,W
2,2487,9,40,1081,D,D
2,2490,7,40,1081,D,W
2,2493,7,40,1082,D,D
2,2496,9.5,40,1082,D,W
2,2499,9,40,1083,D,D
2,2502,8.333333333,40,1083,D,W
2,2505,10,41,1084,W,D
2,2508,7,41,1084,W,W
2,2511,8.5,41,1085,W,D
2,2514,8.333333333,41,1085,W,W
2,2517,#DIV/0!,41,1086,W,D
2,2520,10.5,41,1086,W,W
2,2523,#DIV/0!,41,1087,D,D
2,2526,8,41,1087,D,W
2,2529,10.66666667,41,1088,D,D
2,2532,10,41,1088,D,W
2,2535,7.5,41,1089,D,D
2,2538,12.33333333,41,1089,D,W
2,2541,7.5,49,1090,W,D
2,2544,8,49,1090,W,W
2,2547,4,49,1091,W,D
2,2550,7,49,1091,W,W
2,2553,#DIV/0!,49,1092,W,D
2,2556,#DIV/0!,49,1092,W,W
2,2559,7,49,1093,D,D
2,2562,#DIV/0!,49,1093,D,W
2,2565,7,49,1094,D,D
2,2568,7,49,1094,D,W
2,2571,#DIV/0!,49,1095,D,D
2,2574,6,49,1095,D,W
2,2577,#DIV/0!,51,1096,W,D
2,2580,#DIV/0!,51,1096,W,W
2,2583,4,51,1097,W,D
2,2586,4,51,1097,W,W
2,2589,4,51,1098,W,D
2,2592,7,51,1098,W,W
2,2595,#DIV/0!,51,1099,D,D
2,2598,7,51,1099,D,W
2,2601,4,51,1100,D,D
2,2604,7,51,1100,D,W
2,2607,4,51,1101,D,D
2,2610,#DIV/0!,51,1101,D,W
2,2613,7,52,1102,W,D
2,2616,6,52,1102,W,W
2,2619,#DIV/0!,52,1103,W,D
2,2622,12,52,1103,W,W
2,2625,6.333333333,52,1104,W,D
2,2628,#DIV/0!,52,1104,W,W
2,2631,#DIV/0!,52,1105,D,D
2,2634,4,52,1105,D,W
2,2637,9,52,1106,D,D
2,2640,4,52,1106,D,W
2,2643,4,52,1107,D,D
2,2646,7,52,1107,D,W
2,2649,#DIV/0!,54,1108,W,D
2,2652,#DIV/0!,54,1108,W,W
2,2655,#DIV/0!,54,1109,W,D
2,2658,#DIV/0!,54,1109,W,W
2,2661,4,54,1110,W,D
2,2664,4,54,1110,W,W
2,2667,#DIV/0!,54,1111,D,D
2,2670,7,54,1111,D,W
2,2673,7,54,1112,D,D
2,2676,#DIV/0!,54,1112,D,W
2,2679,#DIV/0!,54,1113,D,D
2,2682,#DIV/0!,54,1113,D,W
2,2685,#DIV/0!,57,1114,W,D
2,2688,7,57,1114,W,W
2,2691,#DIV/0!,57,1115,W,D
2,2694,#DIV/0!,57,1115,W,W
2,2697,#DIV/0!,57,1116,W,D
2,2700,#DIV/0!,57,1116,W,W
2,2703,9,57,1117,D,D
2,2706,10.5,57,1117,D,W
